Azimuth,Elevation,Hour of Year,Longitude of Equator Crossing,Leap Year,Third Euler Angle
113.5389585,64.688875,1,-25,1,195.1351385
112.4067248,64.91489599,2,-25,1,193.8817161
111.2742252,65.12667147,3,-25,1,192.6282938
110.1398439,65.3248897,4,-25,1,191.3748714
109.0037164,65.50998452,5,-25,1,190.121449
107.8659718,65.68235589,6,-25,1,188.8680266
106.7267334,65.84237183,7,-25,1,187.6146042
105.5861192,65.99037009,8,-25,1,186.3611818
104.4442422,66.1266597,9,-25,1,185.1077594
103.3012112,66.25152239,10,-25,1,183.854337
102.1571312,66.36521386,11,-25,1,182.6009147
101.0121035,66.46796488,12,-25,1,181.3474923
99.86622617,66.5599824,13,-25,1,180.0940699
98.71959469,66.64145034,14,-25,1,178.8406475
97.57230197,66.71253051,15,-25,1,177.5872251
96.42443879,66.77336322,16,-25,1,176.3338027
95.27609412,66.82406792,17,-25,1,175.0803803
94.12735539,66.86474372,18,-25,1,173.826958
92.97830876,66.89546982,19,-25,1,172.5735356
91.82903944,66.91630579,20,-25,1,171.3201132
90.67963196,66.92729189,21,-25,1,170.0666908
89.53017038,66.92844919,22,-25,1,168.8132684
88.38073864,66.9197797,23,-25,1,167.559846
87.23142074,66.90126634,24,-25,1,166.3064236
86.08230107,66.87287288,25,-25,1,165.0530012
84.93346466,66.83454379,26,-25,1,163.7995789
83.78499744,66.78620401,27,-25,1,162.5461565
82.63698651,66.72775864,28,-25,1,161.2927341
81.48952046,66.65909247,29,-25,1,160.0393117
80.34268963,66.58006958,30,-25,1,158.7858893
79.19658641,66.49053269,31,-25,1,157.5324669
78.05130561,66.39030249,32,-25,1,156.2790445
76.90694474,66.27917686,33,-25,1,155.0256222
75.76360437,66.15693001,34,-25,1,153.7721998
74.62138853,66.02331142,35,-25,1,152.5187774
73.48040507,65.87804479,36,-25,1,151.265355
72.34076612,65.72082673,37,-25,1,150.0119326
71.20258847,65.55132544,38,-25,1,148.7585102
70.06599415,65.36917914,39,-25,1,147.5050878
68.93111087,65.17399443,40,-25,1,146.2516654
67.79807258,64.96534439,41,-25,1,144.9982431
66.66702014,64.74276665,42,-25,1,143.7448207
65.53810191,64.50576107,43,-25,1,142.4913983
64.41147447,64.25378738,44,-25,1,141.2379759
63.28730343,63.98626256,45,-25,1,139.9845535
62.16576422,63.7025579,46,-25,1,138.7311311
61.04704305,63.40199589,47,-25,1,137.4777087
59.93133791,63.08384684,48,-25,1,136.2242864
58.81885962,62.74732508,49,-25,1,134.970864
57.70983312,62.39158504,50,-25,1,133.7174416
