Azimuth,Elevation,Hour of Year,Longitude of Equator Crossing,Leap Year,Third Euler Angle
93.92589518,293.13993,1,-175,1,345.1351908
95.07673749,293.1785502,2,-175,1,343.8817684
96.22544777,293.2270078,3,-175,1,342.628346
97.37369966,293.2855793,4,-175,1,341.3749236
98.52140431,293.3543801,5,-175,1,340.1215012
99.66847113,293.4335466,6,-175,1,338.8680789
100.8148074,293.5232363,7,-175,1,337.6146565
101.9603181,293.6236288,8,-175,1,336.3612341
103.1049053,293.7349267,9,-175,1,335.1078117
104.2484683,293.8573561,10,-175,1,333.8543893
105.3909027,293.9911679,11,-175,1,332.6009669
106.5321004,294.136639,12,-175,1,331.3475445
107.6719489,294.2940732,13,-175,1,330.0941221
108.810331,294.4638028,14,-175,1,328.8406998
109.9471244,294.6461902,15,-175,1,327.5872774
111.0822011,294.8416295,16,-175,1,326.333855
112.2154268,295.0505481,17,-175,1,325.0804326
113.3466602,295.2734092,18,-175,1,323.8270102
114.4757526,295.5107136,19,-175,1,322.5735878
115.6025469,295.7630024,20,-175,1,321.3201654
116.7268773,296.0308596,21,-175,1,320.0667431
117.8485677,296.3149147,22,-175,1,318.8133207
118.9674316,296.6158464,23,-175,1,317.5598983
120.0832705,296.9343852,24,-175,1,316.3064759
121.1958731,297.2713181,25,-175,1,315.0530535
122.3050138,297.6274919,26,-175,1,313.7996311
123.4104519,298.0038178,27,-175,1,312.5462087
124.5119295,298.4012762,28,-175,1,311.2927863
125.6091705,298.8209215,29,-175,1,310.039364
126.7018783,299.2638884,30,-175,1,308.7859416
127.7897342,299.7313965,31,-175,1,307.5325192
128.8723954,300.2247579,32,-175,1,306.2790968
129.9494921,300.7453835,33,-175,1,305.0256744
131.0206253,301.2947898,34,-175,1,303.772252
132.0853639,301.8746072,35,-175,1,302.5188296
133.1432416,302.4865871,36,-175,1,301.2654073
134.1937531,303.1326114,37,-175,1,300.0119849
135.2363508,303.8146999,38,-175,1,298.7585625
136.2704399,304.5350193,39,-175,1,297.5051401
137.2953745,305.2958922,40,-175,1,296.2517177
138.3104521,306.0998046,41,-175,1,294.9982953
139.3149082,306.9494142,42,-175,1,293.7448729
140.3079104,307.8475569,43,-175,1,292.4914505
141.2885519,308.7972515,44,-175,1,291.2380282
142.2558443,309.8017031,45,-175,1,289.9846058
143.2087105,310.8643022,46,-175,1,288.7311834
144.1459767,311.9886207,47,-175,1,287.477761
145.0663643,313.1784013,48,-175,1,286.2243386
145.9684815,314.4375409,49,-175,1,284.9709162
146.850815,315.7700635,50,-175,1,283.7174938
147.7117218,317.1800832,51,-175,1,282.4640715
148.5494223,318.6717524,52,-175,1,281.2106491
149.3619931,320.2491936,53,-175,1,279.9572267
150.1473635,321.9164119,54,-175,1,278.7038043
150.9033128,323.677185,55,-175,1,277.4503819
151.627472,325.5349294,56,-175,1,276.1969595
152.3173298,327.4925402,57,-175,1,274.9435371
152.9702445,329.5522055,58,-175,1,273.6901147
153.5834621,331.7151988,59,-175,1,272.4366924
154.1541435,333.9816531,60,-175,1,271.18327
154.6794,336.3503282,61,-175,1,269.9298476
155.1563388,338.818385,62,-175,1,268.6764252
155.5821185,341.3811836,63,-175,1,267.4230028
155.9540122,344.0321296,64,-175,1,266.1695804
156.2694785,346.7625908,65,-175,1,264.916158
156.5262359,349.5619074,66,-175,1,263.6627357
156.7223365,352.4175125,67,-175,1,262.4093133
156.8562342,355.3151738,68,-175,1,261.1558909
156.9268437,358.2393495,69,-175,1,259.9024685
156.9335826,1.17364353,70,-175,1,258.6490461
156.8763952,4.101328058,71,-175,1,257.3956237
156.7557548,7.005892468,72,-175,1,256.1422013
156.5726444,9.87157505,73,-175,1,254.8887789
156.3285179,12.68383504,74,-175,1,253.6353566
156.0252443,15.42973191,75,-175,1,252.3819342
155.6650415,18.09819123,76,-175,1,251.1285118
155.2504028,20.68015055,77,-175,1,249.8750894
154.784022,23.16859157,78,-175,1,248.621667
154.2687226,25.55847476,79,-175,1,247.3682446
153.7073915,27.8465981,80,-175,1,246.1148222
153.1029223,30.03140386,81,-175,1,244.8613999
152.4581681,32.11275603,82,-175,1,243.6079775
151.7759032,34.09170757,83,-175,1,242.3545551
151.058795,35.97027258,84,-175,1,241.1011327
150.3093832,37.75121389,85,-175,1,239.8477103
149.5300674,39.43785258,86,-175,1,238.5942879
148.7230998,41.03390258,87,-175,1,237.3408655
147.8905825,42.54333117,88,-175,1,236.0874431
147.0344695,43.97024423,89,-175,1,234.8340208
146.15657,45.31879414,90,-175,1,233.5805984
145.2585554,46.59310785,91,-175,1,232.327176
144.3419651,47.79723204,92,-175,1,231.0737536
143.408216,48.93509278,93,-175,1,229.8203312
142.4586096,50.01046704,94,-175,1,228.5669088
141.4943409,51.02696365,95,-175,1,227.3134864
140.5165066,51.9880119,96,-175,1,226.0600641
139.526113,52.89685596,97,-175,1,224.8066417
138.5240833,53.75655381,98,-175,1,223.5532193
137.5112648,54.56997943,99,-175,1,222.2997969
136.4884359,55.33982748,100,-175,1,221.0463745
135.4563112,56.06861967,101,-175,1,219.7929521
134.4155482,56.75871224,102,-175,1,218.5395297
133.3667518,57.41230411,103,-175,1,217.2861073
132.3104788,58.03144541,104,-175,1,216.032685
131.2472432,58.61804618,105,-175,1,214.7792626
130.1775189,59.17388483,106,-175,1,213.5258402
129.101744,59.70061659,107,-175,1,212.2724178
128.0203238,60.19978148,108,-175,1,211.0189954
126.9336337,60.67281201,109,-175,1,209.765573
125.8420221,61.12104047,110,-175,1,208.5121506
124.7458121,61.54570581,111,-175,1,207.2587283
123.6453048,61.94795998,112,-175,1,206.0053059
122.5407801,62.32887405,113,-175,1,204.7518835
121.4324994,62.68944369,114,-175,1,203.4984611
120.3207069,63.03059443,115,-175,1,202.2450387
119.2056307,63.35318645,116,-175,1,200.9916163
118.087485,63.65801901,117,-175,1,199.7381939
116.9664705,63.94583454,118,-175,1,198.4847715
115.8427762,64.21732245,119,-175,1,197.2313492
114.7165798,64.47312261,120,-175,1,195.9779268
113.5880489,64.71382853,121,-175,1,194.7245044
112.4573424,64.93999028,122,-175,1,193.471082
111.3246103,65.15211724,123,-175,1,192.2176596
110.1899951,65.35068054,124,-175,1,190.9642372
109.0536322,65.53611529,125,-175,1,189.7108148
107.9156507,65.70882269,126,-175,1,188.4573925
106.7761737,65.86917192,127,-175,1,187.2039701
105.6353193,66.01750179,128,-175,1,185.9505477
104.4932005,66.15412236,129,-175,1,184.6971253
103.3499259,66.27931636,130,-175,1,183.4437029
102.2056004,66.39334039,131,-175,1,182.1902805
101.0603252,66.49642613,132,-175,1,180.9368581
99.91419838,66.58878138,133,-175,1,179.6834357
98.76731524,66.67059091,134,-175,1,178.4300134
97.61976858,66.74201731,135,-175,1,177.176591
96.47164904,66.8032017,136,-175,1,175.9231686
95.32304545,66.85426431,137,-175,1,174.6697462
94.17404509,66.89530503,138,-175,1,173.4163238
93.02473397,66.92640379,139,-175,1,172.1629014
91.87519714,66.94762093,140,-175,1,170.909479
90.72551892,66.95899747,141,-175,1,169.6560566
89.57578322,66.96055525,142,-175,1,168.4026343
88.42607375,66.95229701,143,-175,1,167.1492119
87.27647432,66.93420649,144,-175,1,165.8957895
86.1270691,66.90624824,145,-175,1,164.6423671
84.97794287,66.86836753,146,-175,1,163.3889447
83.82918133,66.82049015,147,-175,1,162.1355223
82.68087132,66.76252202,148,-175,1,160.8820999
81.53310115,66.69434883,149,-175,1,159.6286776
80.38596087,66.61583558,150,-175,1,158.3752552
79.23954258,66.52682589,151,-175,1,157.1218328
78.09394076,66.42714146,152,-175,1,155.8684104
76.94925256,66.31658118,153,-175,1,154.614988
75.80557821,66.1949203,154,-175,1,153.3615656
74.66302135,66.06190945,155,-175,1,152.1081432
73.52168943,65.91727344,156,-175,1,150.8547208
72.38169413,65.76071015,157,-175,1,149.6012985
71.24315182,65.59188901,158,-175,1,148.3478761
70.10618401,65.4104496,159,-175,1,147.0944537
68.9709179,65.21599992,160,-175,1,145.8410313
67.8374869,65.00811454,161,-175,1,144.5876089
66.70603129,64.78633264,162,-175,1,143.3341865
65.57669878,64.55015573,163,-175,1,142.0807641
64.44964531,64.29904528,164,-175,1,140.8273418
63.32503576,64.03242007,165,-175,1,139.5739194
62.20304482,63.74965335,166,-175,1,138.320497
61.08385787,63.45006962,167,-175,1,137.0670746
59.96767202,63.1329413,168,-175,1,135.8136522
58.85469719,62.79748501,169,-175,1,134.5602298
57.74515729,62.44285752,170,-175,1,133.3068074
56.63929156,62.0681514,171,-175,1,132.053385
55.53735603,61.67239032,172,-175,1,130.7999627
54.43962506,61.25452393,173,-175,1,129.5465403
53.34639313,60.81342236,174,-175,1,128.2931179
52.25797681,60.34787032,175,-175,1,127.0396955
51.17471679,59.85656076,176,-175,1,125.7862731
50.09698028,59.3380881,177,-175,1,124.5328507
49.0251636,58.790941,178,-175,1,123.2794283
47.95969503,58.21349479,179,-175,1,122.026006
46.9010379,57.60400342,180,-175,1,120.7725836
45.84969413,56.96059119,181,-175,1,119.5191612
44.80620796,56.28124412,182,-175,1,118.2657388
43.77117022,55.56380125,183,-175,1,117.0123164
42.74522286,54.805946,184,-175,1,115.758894
