Azimuth,Elevation,Hour of Year,Longitude of Equator Crossing,Leap Year,Third Euler Angle
146.9953458,43.97673941,1,-65,1,235.135115
146.1159117,45.32497564,2,-65,1,233.8816926
145.2178151,46.59721613,3,-65,1,232.6282702
144.3011744,47.7994394,4,-65,1,231.3748478
143.3674024,48.93555812,5,-65,1,230.1214254
142.4177973,50.00933633,6,-65,1,228.868003
141.4535512,51.0243706,7,-65,1,227.6145807
140.4757581,51.98407865,8,-65,1,226.3611583
139.485422,52.89169386,9,-65,1,225.1077359
138.4834641,53.75026417,10,-65,1,223.8543135
137.47073,54.56265432,11,-65,1,222.6008911
136.4479963,55.33155047,12,-65,1,221.3474687
135.4159764,56.05946653,13,-65,1,220.0940463
134.3753265,56.7487516,14,-65,1,218.840624
133.3266504,57.4015981,15,-65,1,217.5872016
132.2705042,58.02005024,16,-65,1,216.3337792
131.2074009,58.60601265,17,-65,1,215.0803568
130.1378138,59.16125884,18,-65,1,213.8269344
129.0621804,59.68743958,19,-65,1,212.573512
127.9809054,60.18609082,20,-65,1,211.3200896
126.8943638,60.65864138,21,-65,1,210.0666672
125.8029036,61.10642021,22,-65,1,208.8132449
124.7068477,61.53066315,23,-65,1,207.5598225
123.6064966,61.93251942,24,-65,1,206.3064001
122.5021303,62.31305751,25,-65,1,205.0529777
121.3940098,62.67327079,26,-65,1,203.7995553
120.282379,63.01408268,27,-65,1,202.5461329
119.1674662,63.33635139,28,-65,1,201.2927105
118.0494852,63.6408744,29,-65,1,200.0392882
116.9286367,63.92839255,30,-65,1,198.7858658
115.8051096,64.19959372,31,-65,1,197.5324434
114.6790815,64.45511639,32,-65,1,196.279021
113.5507203,64.6955528,33,-65,1,195.0255986
112.4201844,64.92145184,34,-65,1,193.7721762
111.2876239,65.13332179,35,-65,1,192.5187538
110.1531814,65.33163274,36,-65,1,191.2653314
109.0169924,65.51681886,37,-65,1,190.0119091
107.8791858,65.68928046,38,-65,1,188.7584867
106.739885,65.84938585,39,-65,1,187.5050643
105.5992079,65.99747307,40,-65,1,186.2516419
104.4572676,66.13385143,41,-65,1,184.9982195
103.3141727,66.25880293,42,-65,1,183.7447971
102.1700284,66.37258348,43,-65,1,182.4913747
101.0249358,66.47542415,44,-65,1,181.2379524
99.87899307,66.56753205,45,-65,1,179.98453
98.73229558,66.64909138,46,-65,1,178.7311076
97.58493623,66.72026413,47,-65,1,177.4776852
96.43700579,66.78119083,48,-65,1,176.2242628
95.28859316,66.83199114,49,-65,1,174.9708404
94.13978573,66.87276439,50,-65,1,173.717418
92.99066965,66.90358995,51,-65,1,172.4639956
91.84133008,66.92452762,52,-65,1,171.2105733
90.69185148,66.93561784,53,-65,1,169.9571509
89.54231787,66.9368819,54,-65,1,168.7037285
88.39281314,66.92832201,55,-65,1,167.4503061
87.24342123,66.90992129,56,-65,1,166.1968837
86.0942265,66.88164372,57,-65,1,164.9434613
84.94531388,66.843434,58,-65,1,163.6900389
83.79676926,66.79521729,59,-65,1,162.4366166
82.64867965,66.73689889,60,-65,1,161.1831942
81.50113359,66.66836386,61,-65,1,159.9297718
80.35422133,66.58947651,62,-65,1,158.6763494
79.20803519,66.50007979,63,-65,1,157.422927
78.06266989,66.39999467,64,-65,1,156.1695046
76.91822284,66.2890193,65,-65,1,154.9160822
75.77479453,66.16692816,66,-65,1,153.6626598
74.63248888,66.03347104,67,-65,1,152.4092375
73.49141364,65.88837194,68,-65,1,151.1558151
72.35168081,65.73132779,69,-65,1,149.9023927
71.21340709,65.56200715,70,-65,1,148.6489703
70.07671435,65.38004857,71,-65,1,147.3955479
68.94173017,65.18505904,72,-65,1,146.1421255
67.80858836,64.97661203,73,-65,1,144.8887031
66.67742963,64.75424558,74,-65,1,143.6352808
65.54840217,64.51745999,75,-65,1,142.3818584
64.42166238,64.26571547,76,-65,1,141.128436
63.29737568,63.99842946,77,-65,1,139.8750136
62.17571731,63.71497378,78,-65,1,138.6215912
61.05687326,63.41467146,79,-65,1,137.3681688
59.94104128,63.09679335,80,-65,1,136.1147464
58.82843194,62.76055441,81,-65,1,134.861324
57.71926994,62.40510969,82,-65,1,133.6079017
56.61379526,62.02954992,83,-65,1,132.3544793
55.5122648,61.63289687,84,-65,1,131.1010569
54.41495382,61.21409817,85,-65,1,129.8476345
53.3221578,60.77202188,86,-65,1,128.5942121
52.2341943,60.30545049,87,-65,1,127.3407897
51.15140519,59.81307471,88,-65,1,126.0873673
