Azimuth,Elevation,Hour of Year,Longitude of Equator Crossing,Leap Year,Third Euler Angle
121.201417,297.2804413,1,-145,1,315.1352165
122.3121294,297.637515,2,-145,1,313.8817941
123.4174634,298.0140715,3,-145,1,312.6283717
124.5188332,298.4117709,4,-145,1,311.3749494
125.6159622,298.8316683,5,-145,1,310.121527
126.7085539,299.2748985,6,-145,1,308.8681046
127.7962891,299.7426822,7,-145,1,307.6146822
128.8788247,300.2363319,8,-145,1,306.3612598
129.9557906,300.7572591,9,-145,1,305.1078374
131.0267874,301.3069811,10,-145,1,303.854415
132.0913838,301.8871288,11,-145,1,302.6009926
133.1491129,302.4994545,12,-145,1,301.3475703
134.199469,303.1458407,13,-145,1,300.0941479
135.2419041,303.8283077,14,-145,1,298.8407255
136.2758228,304.5490232,15,-145,1,297.5873031
137.3005788,305.3103102,16,-145,1,296.3338807
138.3154688,306.1146554,17,-145,1,295.0804583
139.3197279,306.964717,18,-145,1,293.8270359
140.3125229,307.8633313,19,-145,1,292.5736136
141.2929464,308.8135173,20,-145,1,291.3201912
142.2600091,309.81848,21,-145,1,290.0667688
143.2126332,310.88161,22,-145,1,288.8133464
144.1496442,312.0064785,23,-145,1,287.559924
145.0697625,313.1968274,24,-145,1,286.3065016
145.9715955,314.4565521,25,-145,1,285.0530792
146.853629,315.7896747,26,-145,1,283.7996568
147.7142192,317.2003066,27,-145,1,282.5462345
148.5515855,318.6925966,28,-145,1,281.2928121
149.363804,320.2706626,29,-145,1,280.0393897
150.1488029,321.938504,30,-145,1,278.7859673
150.9043612,323.6998916,31,-145,1,277.5325449
151.6281095,325.5582334,32,-145,1,276.2791225
152.3175362,327.5164145,33,-145,1,275.0257001
152.9699999,329.5766118,34,-145,1,273.7722778
153.5827469,331.7400856,35,-145,1,272.5188554
154.1529392,334.0069549,36,-145,1,271.265433
154.6776894,336.3759644,37,-145,1,270.0120106
155.1541067,338.8442592,38,-145,1,268.7585882
155.5793521,341.4071839,39,-145,1,267.5051658
155.950702,344.0581298,40,-145,1,266.2517434
156.2656187,346.7884524,41,-145,1,264.998321
156.5218247,349.5874819,42,-145,1,263.7448987
156.7173766,352.4426464,43,-145,1,262.4914763
156.8507334,355.3397122,44,-145,1,261.2380539
156.9208143,358.2631418,45,-145,1,259.9846315
156.9270415,1.196548339,46,-145,1,258.7312091
156.8693638,4.123218088,47,-145,1,257.4777867
156.7482582,7.026658539,48,-145,1,256.2243643
156.5647107,9.891129069,49,-145,1,254.970942
156.3201774,12.70211171,50,-145,1,253.7175196
156.016529,15.44668916,51,-145,1,252.4640972
155.6559841,18.11380938,52,-145,1,251.2106748
155.2410359,20.6944306,53,-145,1,249.9572524
154.7743778,23.18155266,54,-145,1,248.70383
154.2588319,25.57015129,55,-145,1,247.4504076
153.6972836,27.85703661,56,-145,1,246.1969852
153.0926249,30.04066005,57,-145,1,244.9435629
152.4477067,32.12089196,58,-145,1,243.6901405
151.7653013,34.09878919,59,-145,1,242.4367181
151.048074,35.97636765,60,-145,1,241.1832957
150.2985625,37.75639028,61,-145,1,239.9298733
149.5191644,39.44217696,62,-145,1,238.6764509
148.7121301,41.0374394,63,-145,1,237.4230285
147.87956,42.54614201,64,-145,1,236.1696062
147.0234064,43.97238727,65,-145,1,234.9161838
146.1454774,45.32032393,66,-145,1,233.6627614
145.2474427,46.59407519,67,-145,1,232.409339
144.330841,47.79768396,68,-145,1,231.1559166
143.3970877,48.93507266,69,-145,1,229.9024942
142.4474838,50.01001467,70,-145,1,228.6490718
141.4832232,51.02611547,71,-145,1,227.3956494
140.5054021,51.98680119,72,-145,1,226.1422271
139.5150259,52.89531304,73,-145,1,224.8888047
138.5130175,53.75470624,74,-145,1,223.6353823
137.5002238,54.56785225,75,-145,1,222.3819599
136.4774224,55.33744342,76,-145,1,221.1285375
135.4453279,56.06599932,77,-145,1,219.8751151
134.4045972,56.75587423,78,-145,1,218.6216927
133.355835,57.40926529,79,-145,1,217.3682703
132.299598,58.02822105,80,-145,1,216.114848
131.2363998,58.61465003,81,-145,1,214.8614256
130.1667141,59.17032934,82,-145,1,213.6080032
129.0909791,59.69691298,83,-145,1,212.3545808
128.0095997,60.19593986,84,-145,1,211.1011584
126.9229513,60.66884148,85,-145,1,209.847736
125.831382,61.11694926,86,-145,1,208.5943136
124.7352152,61.54150124,87,-145,1,207.3408913
123.6347515,61.94364868,88,-145,1,206.0874689
122.530271,62.32446192,89,-145,1,204.8340465
121.4220349,62.68493601,90,-145,1,203.5806241
120.3102875,63.02599593,91,-145,1,202.3272017
119.1952568,63.34850129,92,-145,1,201.0737793
118.0771569,63.65325088,93,-145,1,199.8203569
116.9561886,63.94098671,94,-145,1,198.5669345
115.8325407,64.21239776,95,-145,1,197.3135122
114.706391,64.46812353,96,-145,1,196.0600898
113.5779073,64.70875719,97,-145,1,194.8066674
112.4472481,64.93484848,98,-145,1,193.553245
111.3145636,65.14690649,99,-145,1,192.2998226
110.1799962,65.34540206,100,-145,1,191.0464002
109.0436815,65.53077005,101,-145,1,189.7929778
107.9057484,65.70341143,102,-145,1,188.5395555
106.7663202,65.86369512,103,-145,1,187.2861331
105.6255148,66.01195975,104,-145,1,186.0327107
104.4834453,66.14851516,105,-145,1,184.7792883
103.3402205,66.27364387,106,-145,1,183.5258659
102.195945,66.38760232,107,-145,1,182.2724435
101.0507203,66.49062201,108,-145,1,181.0190211
99.90464436,66.58291055,109,-145,1,179.7655987
98.75781249,66.66465256,110,-145,1,178.5121764
97.61031754,66.73601048,111,-145,1,177.258754
96.4622502,66.79712524,112,-145,1,176.0053316
95.31369931,66.84811696,113,-145,1,174.7519092
94.16475217,66.88908533,114,-145,1,173.4984868
93.01549485,66.92011016,115,-145,1,172.2450644
91.86601241,66.94125165,116,-145,1,170.991642
90.71638922,66.95255062,117,-145,1,169.7382197
89.56670922,66.9540288,118,-145,1,168.4847973
88.41705617,66.94568879,119,-145,1,167.2313749
87.26751391,66.92751413,120,-145,1,165.9779525
