Azimuth,Elevation,Hour of Year,Longitude of Equator Crossing,Leap Year,Third Euler Angle
75.5534901,293.8820563,1,165,1,5.135155638
76.69856185,293.7570811,2,165,1,3.881733251
77.84291596,293.6433508,3,165,1,2.628310864
78.98821995,293.5405671,4,165,1,1.374888478
80.1343754,293.4485231,5,165,1,0.121466091
81.2812867,293.3670346,6,165,1,358.8680437
82.42886071,293.2959398,7,165,1,357.6146213
83.57700641,293.2350984,8,165,1,356.3611989
84.72563461,293.1843907,9,165,1,355.1077765
85.87465767,293.1437178,10,165,1,353.8543542
87.02398919,293.1130004,11,165,1,352.6009318
88.17354373,293.0921789,12,165,1,351.3475094
89.32323658,293.0812131,13,165,1,350.094087
90.47298341,293.0800819,14,165,1,348.8406646
91.6227001,293.0887834,15,165,1,347.5872422
92.77230238,293.1073347,16,165,1,346.3338198
93.92170566,293.1357721,17,165,1,345.0803975
95.07082468,293.1741514,18,165,1,343.8269751
96.21957329,293.2225475,19,165,1,342.5735527
97.36786414,293.2810557,20,165,1,341.3201303
98.51560843,293.3497911,21,165,1,340.0667079
99.66271557,293.42889,22,165,1,338.8132855
100.8090929,293.5185098,23,165,1,337.5598631
101.9546455,293.61883,24,165,1,336.3064407
103.0992755,293.730053,25,165,1,335.0530184
104.2428821,293.8524048,26,165,1,333.799596
105.385361,293.9861361,27,165,1,332.5461736
106.5266041,294.1315237,28,165,1,331.2927512
107.6664991,294.2888713,29,165,1,330.0393288
108.8049289,294.4585109,30,165,1,328.7859064
109.9417711,294.6408048,31,165,1,327.532484
111.0768979,294.8361468,32,165,1,326.2790617
112.2101749,295.0449643,33,165,1,325.0256393
113.341461,295.2677201,34,165,1,323.7722169
114.4706076,295.504915,35,165,1,322.5187945
115.5974577,295.7570896,36,165,1,321.2653721
116.7218454,296.0248279,37,165,1,320.0119497
117.843595,296.308759,38,165,1,318.7585273
118.9625199,296.6095612,39,165,1,317.5051049
120.0784218,296.9279652,40,165,1,316.2516826
121.1910894,297.2647572,41,165,1,314.9982602
122.3002974,297.6207839,42,165,1,313.7448378
123.4058051,297.9969561,43,165,1,312.4914154
124.5073549,298.3942539,44,165,1,311.237993
125.6046706,298.8137315,45,165,1,309.9845706
126.6974562,299.2565228,46,165,1,308.7311482
127.7853929,299.7238474,47,165,1,307.4777258
128.868138,300.2170168,48,165,1,306.2243035
129.9453221,300.7374415,49,165,1,304.9708811
131.0165465,301.2866376,50,165,1,303.7174587
132.0813802,301.8662349,51,165,1,302.4640363
133.1393572,302.4779847,52,165,1,301.2106139
134.1899726,303.1237681,53,165,1,299.9571915
135.2326789,303.8056044,54,165,1,298.7037691
136.2668819,304.5256602,55,165,1,297.4503468
137.2919358,305.2862574,56,165,1,296.1969244
138.3071387,306.0898817,57,165,1,294.943502
139.3117264,306.9391906,58,165,1,293.6900796
140.3048671,307.8370195,59,165,1,292.4366572
141.2856541,308.7863873,60,165,1,291.1832348
142.2530998,309.7904988,61,165,1,289.9298124
143.2061276,310.8527449,62,165,1,288.67639
144.1435642,311.9766976,63,165,1,287.4229677
145.0641315,313.1661004,64,165,1,286.1695453
