Azimuth,Elevation,Hour of Year,Longitude of Equator Crossing,Leap Year,Third Euler Angle
44.57814958,303.9556963,1,130,1,40.13511287
45.62053148,303.2651359,2,130,1,38.88169048
46.6693035,302.6119562,3,130,1,37.62826809
47.72555661,301.9931903,4,130,1,36.37484571
48.78877743,301.4069326,5,130,1,35.12142332
49.85849207,300.8514087,6,130,1,33.86800093
50.93426257,300.3249668,7,130,1,32.61457855
52.01568372,299.8260701,8,130,1,31.36115616
53.10238013,299.353289,9,130,1,30.10773377
54.19400355,298.9052938,10,130,1,28.85431139
55.29023053,298.4808479,11,130,1,27.600889
56.3907602,298.0788013,12,130,1,26.34746661
57.49531232,297.6980851,13,130,1,25.09404422
58.60362545,297.3377052,14,130,1,23.84062184
59.71545535,296.9967377,15,130,1,22.58719945
60.8305735,296.6743239,16,130,1,21.33377706
61.94876574,296.3696657,17,130,1,20.08035468
63.06983103,296.0820221,18,130,1,18.82693229
64.19358033,295.8107045,19,130,1,17.5735099
65.31983561,295.5550742,20,130,1,16.32008752
66.44842885,295.3145387,21,130,1,15.06666513
67.57920126,295.0885487,22,130,1,13.81324274
68.71200244,294.8765956,23,130,1,12.55982036
69.84668963,294.6782092,24,130,1,11.30639797
70.98312716,294.4929549,25,130,1,10.05297558
72.12118568,294.3204324,26,130,1,8.799553197
73.26074172,294.1602729,27,130,1,7.546130811
74.4016771,294.0121385,28,130,1,6.292708424
75.54387845,293.8757196,29,130,1,5.039286037
76.68723676,293.7507339,30,130,1,3.785863651
77.83164696,293.6369257,31,130,1,2.532441264
78.9770075,293.5340636,32,130,1,1.279018877
80.12322,293.4419404,33,130,1,0.02559649
81.27018887,293.360372,34,130,1,358.7721741
82.41782098,293.2891963,35,130,1,357.5187517
83.56602535,293.2282727,36,130,1,356.2653293
84.71471283,293.1774814,37,130,1,355.0119069
85.8637958,293.1367232,38,130,1,353.7584846
87.01318791,293.1059189,39,130,1,352.5050622
88.16280375,293.0850085,40,130,1,351.2516398
89.31255864,293.0739516,41,130,1,349.9982174
90.46236833,293.072727,42,130,1,348.744795
91.61214869,293.0813327,43,130,1,347.4913726
92.76181555,293.0997856,44,130,1,346.2379502
93.91128434,293.1281217,45,130,1,344.9845279
95.06046986,293.1663966,46,130,1,343.7311055
96.20928602,293.2146851,47,130,1,342.4776831
97.35764554,293.2730823,48,130,1,341.2242607
98.50545966,293.3417032,49,130,1,339.9708383
99.65263788,293.4206836,50,130,1,338.7174159
100.7990876,293.5101809,51,130,1,337.4639935
101.944714,293.6103743,52,130,1,336.2105711
103.0894191,293.7214659,53,130,1,334.9571488
104.2331025,293.8436816,54,130,1,333.7037264
105.3756598,293.9772719,55,130,1,332.450304
106.5169831,294.1225131,56,130,1,331.1968816
107.6569601,294.2797087,57,130,1,329.9434592
108.7954737,294.4491905,58,130,1,328.6900368
109.9324019,294.6313203,59,130,1,327.4366144
111.0676168,294.8264918,60,130,1,326.1831921
112.2009841,295.0351318,61,130,1,324.9297697
113.3323631,295.257703,62,130,1,323.6763473
114.461605,295.4947056,63,130,1,322.4229249
115.5885533,295.7466801,64,130,1,321.1695025
116.713042,296.0142096,65,130,1,319.9160801
117.8348957,296.2979232,66,130,1,318.6626577
118.9539279,296.5984986,67,130,1,317.4092353
120.0699405,296.9166657,68,130,1,316.155813
121.1827226,297.2532106,69,130,1,314.9023906
122.2920489,297.6089793,70,130,1,313.6489682
123.3976791,297.984882,71,130,1,312.3955458
124.4993559,298.381898,72,130,1,311.1421234
125.5968033,298.8010812,73,130,1,309.888701
126.6897254,299.2435646,74,130,1,308.6352786
127.7778041,299.7105673,75,130,1,307.3818562
128.8606969,300.2034,76,130,1,306.1284339
129.9380348,300.7234723,77,130,1,304.8750115
131.0094194,301.2722996,78,130,1,303.6215891
132.0744203,301.851511,79,130,1,302.3681667
133.1325719,302.4628571,80,130,1,301.1147443
134.1833698,303.1082179,81,130,1,299.8613219
135.2262672,303.7896122,82,130,1,298.6078995
136.2606702,304.5092056,83,130,1,297.3544772
137.2859339,305.2693194,84,130,1,296.1010548
138.301357,306.0724386,85,130,1,294.8476324
139.306176,306.9212202,86,130,1,293.59421
140.2995597,307.818499,87,130,1,292.3407876
141.2806026,308.7672938,88,130,1,291.0873652
142.2483177,309.7708093,89,130,1,289.8339428
143.2016293,310.8324365,90,130,1,288.5805204
144.1393652,311.9557483,91,130,1,287.3270981
145.0602481,313.1444891,92,130,1,286.0736757
145.9628881,314.4025583,93,130,1,284.8202533
146.8457732,315.7339837,94,130,1,283.5668309
147.7072623,317.1428845,95,130,1,282.3134085
148.545577,318.6334195,96,130,1,281.0599861
149.3587956,320.2097198,97,130,1,279.8065637
150.1448485,321.8758008,98,130,1,278.5531414
150.9015161,323.6354534,99,130,1,277.299719
151.6264301,325.4921093,100,130,1,276.0462966
152.3170796,327.448682,101,130,1,274.7928742
152.9708225,329.5073807,102,130,1,273.5394518
153.584904,331.6695024,103,130,1,272.2860294
154.1564831,333.9352063,104,130,1,271.032607
154.6826686,336.3032802,105,130,1,269.7791846
155.1605642,338.7709135,106,130,1,268.5257623
155.5873236,341.3334946,107,130,1,267.2723399
155.9602143,343.9844556,108,130,1,266.0189175
156.2766882,346.715187,109,130,1,264.7654951
156.534456,349.5150462,110,130,1,263.5120727
156.7315614,352.3714767,111,130,1,262.2586503
156.8664498,355.2702475,112,130,1,261.0052279
156.9380269,358.1958092,113,130,1,259.7518056
156.9457018,1.131748543,114,130,1,258.4983832
156.889411,4.061311469,115,130,1,257.2449608
156.7696209,6.967953938,116,130,1,255.9915384
156.587309,9.835875321,117,130,1,254.738116
156.3439248,12.65049282,118,130,1,253.4846936
156.0413348,15.39882316,119,130,1,252.2312712
155.6817554,18.06975063,120,130,1,250.9778488
155.26768,20.65417482,121,130,1,249.7244265
154.8018037,23.14504411,122,130,1,248.4710041
154.2869519,25.53729101,123,130,1,247.2175817
153.7260144,27.82769122,124,130,1,245.9641593
153.1218884,30.01467032,125,130,1,244.7107369
152.4774304,32.09808073,126,130,1,243.4573145
151.7954187,34.0789684,127,130,1,242.2038921
151.0785245,35.95934421,128,130,1,240.9504698
150.3292912,37.74197091,129,130,1,239.6970474
149.5501221,39.43017191,130,130,1,238.443625
148.7432726,41.02766531,131,130,1,237.1902026
147.9108482,42.53842382,132,130,1,235.9367802
147.0548055,43.96655958,133,130,1,234.6833578
146.1769565,45.31623175,134,130,1,233.4299354
145.2789748,46.59157422,135,130,1,232.176513
144.3624022,47.79664065,136,130,1,230.9230907
143.4286572,48.93536394,137,130,1,229.6696683
142.479043,50.01152759,138,130,1,228.4162459
141.5147562,51.02874665,139,130,1,227.1628235
140.5368948,51.99045627,140,130,1,225.9094011
139.546466,52.89990609,141,130,1,224.6559787
138.5443943,53.76015912,142,130,1,223.4025563
137.5315279,54.574094,143,130,1,222.149134
136.5086458,55.3444097,144,130,1,220.8957116
135.4764633,56.07363183,145,130,1,219.6422892
134.4356386,56.76412021,146,130,1,218.3888668
133.3867769,57.41807704,147,130,1,217.1354444
132.3304357,58.03755542,148,130,1,215.882022
131.2671293,58.62446807,149,130,1,214.6285996
130.1973318,59.18059591,150,130,1,213.3751772
129.1214818,59.70759635,151,130,1,212.1217549
128.0399848,60.20701146,152,130,1,210.8683325
126.9532164,60.68027561,153,130,1,209.6149101
125.861525,61.12872276,154,130,1,208.3614877
124.7652342,61.55359336,155,130,1,207.1080653
123.6646449,61.95604078,156,130,1,205.8546429
