Azimuth,Elevation,Hour of Year,Longitude of Equator Crossing,Leap Year,Third Euler Angle
24.68968564,339.4350027,1,100,0,69.40102039
25.15484299,336.934058,2,100,0,68.147598
25.66833166,334.5356141,3,100,0,66.89417562
26.22805771,332.2391863,4,100,0,65.64075323
26.83111673,330.0464012,5,100,0,64.38733084
27.47464358,327.9574448,6,100,0,63.13390846
28.15585086,325.9712974,7,100,0,61.88048607
28.87205794,324.0859637,8,100,0,60.62706368
29.62071172,322.2986874,9,100,0,59.37364129
30.39939978,320.6061447,10,100,0,58.12021891
31.20585785,319.0046113,11,100,0,56.86679652
32.03797221,317.4901045,12,100,0,55.61337413
32.89377839,316.058499,13,100,0,54.35995175
33.77145718,314.7056208,14,100,0,53.10652936
34.6693287,313.4273201,15,100,0,51.85310697
35.58584509,312.2195268,16,100,0,50.59968459
36.51958259,311.0782916,17,100,0,49.3462622
37.4692331,309.9998149,18,100,0,48.09283981
38.43359578,308.9804661,19,100,0,46.83941743
39.41156882,308.0167954,20,100,0,45.58599504
40.40214142,307.1055394,21,100,0,44.33257265
41.40438622,306.2436218,22,100,0,43.07915027
42.41745221,305.4281522,23,100,0,41.82572788
43.44055808,304.6564202,24,100,0,40.57230549
44.4729861,303.9258901,25,100,0,39.31888311
45.51407644,303.2341925,26,100,0,38.06546072
46.56322204,302.5791165,27,100,0,36.81203833
47.61986381,301.958601,28,100,0,35.55861595
48.68348635,301.370726,29,100,0,34.30519356
49.75361401,300.8137041,30,100,0,33.05177117
50.82980736,300.2858717,31,100,0,31.79834879
51.91165985,299.7856811,32,100,0,30.5449264
52.99879496,299.3116931,33,100,0,29.29150401
54.09086352,298.862569,34,100,0,28.03808163
55.18754123,298.4370642,35,100,0,26.78465924
56.28852655,298.0340214,36,100,0,25.53123685
57.39353863,297.6523648,37,100,0,24.27781447
58.50231555,297.2910944,38,100,0,23.02439208
59.61461268,296.9492807,39,100,0,21.77096969
60.73020115,296.6260598,40,100,0,20.51754731
61.84886653,296.3206292,41,100,0,19.26412492
62.97040758,296.0322433,42,100,0,18.01070253
64.09463511,295.7602098,43,100,0,16.75728015
65.22137097,295.5038864,44,100,0,15.50385776
66.3504471,295.2626772,45,100,0,14.25043537
67.48170466,295.0360297,46,100,0,12.99701299
68.61499325,294.8234327,47,100,0,11.7435906
69.75017017,294.624413,48,100,0,10.49016821
70.88709977,294.4385339,49,100,0,9.236745826
72.02565284,294.2653924,50,100,0,7.98332344
73.16570598,294.1046178,51,100,0,6.729901053
74.30714117,293.95587,52,100,0,5.476478666
75.44984518,293.8188374,53,100,0,4.22305628
76.59370919,293.6932361,54,100,0,2.969633893
77.73862831,293.5788083,55,100,0,1.716211506
78.8845012,293.4753211,56,100,0,0.462789119
80.03122972,293.3825657,57,100,0,359.2093667
81.1787185,293.3003563,58,100,0,357.9559443
82.3268747,293.2285293,59,100,0,356.702522
83.47560761,293.1669424,60,100,0,355.4490996
84.62482835,293.1154748,61,100,0,354.1956772
85.77444966,293.0740255,62,100,0,352.9422548
