(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,153.0734122,30.0439879,-131151222.4,57663270.06,33393121.56
2,152.4283628,32.1224395,-130390301.9,57663270.06,36254022.31
3,151.7458568,34.0986943,-129569837.1,57662654.06,39088988.1
4,151.0285555,35.97476593,-128687742,57662037.85,41905392.56
5,150.2789929,37.75341272,-127744435.9,57661421.42,44701896.06
6,149.4995634,39.43794823,-126740367.1,57660804.77,47477168.42
7,148.6925139,41.03207679,-125676013.1,57660187.9,50229889.56
8,147.8599423,42.53975473,-124551879.8,57659570.82,52958750.13
9,147.0037984,43.96507621,-123368501.7,57658953.52,55662452.11
10,146.125888,45.31218166,-122126441.5,57658336.01,58339709.45
11,145.2278789,46.58518611,-120826289.6,57657718.27,60989248.67
12,144.3113082,47.7881247,-119468664.2,57657100.32,63609809.47
13,143.3775899,48.92491247,-118054210.9,57656482.16,66200145.33
14,142.4280236,49.99931595,-116583602.2,57655863.77,68759024.1
15,141.4638023,51.01493424,-115057537.3,57655245.17,71285228.57
16,140.4860212,51.97518762,-113476741.9,57654626.36,73777557.1
17,139.4956851,52.88331196,-111841967.6,57654007.32,76234824.14
18,138.493716,53.74235764,-110153991.8,57653388.07,78655860.79
19,137.4809604,54.55519169,-108413617.1,57652768.6,81039515.43
20,136.4581956,55.32450249,-106621671.1,57652148.92,83384654.16
21,135.4261357,56.05280601,-104779006,57651529.02,85690161.43
22,134.3854373,56.74245331,-102886497.9,57650908.9,87954940.52
23,133.336705,57.39563862,-100945046.8,57650288.57,90177914.09
24,132.2804952,58.01440786,-98955575.92,57649668.01,92358024.67
25,131.2173214,58.60066723,-96919031.32,57649047.25,94494235.17
26,130.1476573,59.15619172,-94836381.48,57648426.26,96585529.39
27,129.0719409,59.68263343,-92708616.78,57647805.06,98630912.47
28,127.9905772,60.18152957,-90536749.08,57647183.64,100629411.4
29,126.9039415,60.65431013,-88321811.22,57646562.01,102580075.5
30,125.812382,61.10230511,-86064856.53,57645940.15,104481976.7
31,124.716222,61.52675136,-83766958.32,57645318.08,106334210.3
32,123.6157623,61.92879898,-81429209.38,57644695.8,108135895.1
33,122.511283,62.30951732,-79052721.47,57644073.3,109886174
34,121.4030455,62.66990053,-76638624.76,57643450.58,111584214.3
35,120.2912938,63.01087271,-74188067.32,57642827.64,113229208.1
36,119.1762564,63.33329277,-71702214.58,57642204.49,114820373
37,118.0581474,63.63795878,-69182248.75,57641581.12,116356951.8
38,116.9371676,63.92561213,-66629368.26,57640957.53,117838213.5
39,115.813506,64.19694123,-64044787.22,57640333.73,119263453.4
40,114.6873406,64.45258504,-61429734.8,57639709.71,120631993.3
41,113.5588391,64.69313624,-58785454.7,57639085.47,121943182.2
42,112.4281603,64.91914412,-56113204.48,57638461.02,123196396.2
43,111.2954545,65.13111735,-53414255.05,57637836.35,124391038.9
44,110.1608642,65.32952636,-50689890.01,57637211.46,125526542.1
