(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,145.9686388,314.4631031,-121905179.6,57663270.06,-58712041.55
2,146.8504704,315.7962257,-123161235.3,57663270.06,-56031355.6
3,147.7108587,317.2068366,-124355006.8,57662654.06,-53332262.6
4,148.5480234,318.6990809,-125489635.8,57662037.85,-50607773.11
5,149.3600408,320.2770729,-126564582.3,57661421.42,-47859182.88
6,150.1448399,321.9448075,-127579334.9,57660804.77,-45087799.13
7,150.9001999,323.7060513,-128533410.7,57660187.9,-42294939.92
8,151.6237523,325.5642073,-129426355.6,57659570.82,-39481933.54
9,152.3129864,327.522156,-130257744.8,57658953.52,-36650117.85
10,152.9652616,329.5820694,-131027182.6,57658336.01,-33800839.69
11,153.5778256,331.7452034,-131734302.8,57657718.27,-30935454.18
12,154.1478414,334.011673,-132378768.7,57657100.32,-28055324.12
13,154.6724233,336.3802199,-132960273.8,57656482.16,-25161819.33
14,155.1486821,338.8479873,-133478541,57655863.77,-22256316
15,155.5737803,341.4103197,-133933323.8,57655245.17,-19340196.02
16,155.944996,344.0606101,-134324405.5,57654626.36,-16414846.34
17,156.2597931,346.7902179,-134651600,57654007.32,-13481658.31
18,156.5158957,349.5884798,-134914751.2,57653388.07,-10542027
19,156.7113616,352.4428323,-135113733.9,57652768.6,-7597350.575
20,156.8446506,355.3390527,-135248453.2,57652148.92,-4649029.575
21,156.9146828,358.2616159,-135318844.7,57651529.02,-1698466.299
22,156.9208806,1.194148824,-135324874.8,57650908.9,1252935.89
23,156.8631921,4.11995174,-135266540.2,57650288.57,4203773.222
24,156.7420939,7.022545848,-135143868.6,57649668.01,7152642.192
25,156.5585709,9.88620314,-134956917.9,57649047.25,10098140.22
26,156.3140776,12.69641658,-134705777,57648426.26,13038866.34
27,156.010483,15.44027762,-134390564.9,57647805.06,15973421.84
28,155.6500037,18.10674068,-134011431.5,57647183.64,18900410.92
29,155.2351307,20.68676798,-133568556.7,57646562.01,21818441.41
