(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,121.1366638,297.187212,-76059704.85,57525182.4,-111951211.3
2,122.2465145,297.5415331,-78491316.04,57525182.4,-110260638
3,123.3526942,297.9159215,-80878268.31,57524521.96,-108522908.6
4,124.4549472,298.3113532,-83226761.84,57523861.31,-106733534.9
5,125.5529995,298.728878,-85535679.45,57523200.44,-104893367.8
6,126.6465568,299.1696253,-87803922.78,57522539.36,-103003282.2
7,127.7353029,299.63481,-90030412.81,57521878.07,-101064177
8,128.8188974,300.1257386,-92214090.39,57521216.56,-99076974.18
9,129.8969735,300.6438162,-94353916.69,57520554.84,-97042618.82
10,130.9691353,301.1905538,-96448873.78,57519892.9,-94962078.29
11,132.034955,301.7675757,-98497965.04,57519230.74,-92836341.98
12,133.0939696,302.3766275,-100500215.7,57518568.37,-90666420.79
13,134.1456778,303.0195848,-102454673.1,57517905.79,-88453346.6
14,135.1895358,303.6984613,-104360407.6,57517242.99,-86198171.86
15,136.2249535,304.4154179,-106216512.5,57516579.98,-83901969.02
16,137.2512893,305.1727713,-108022104.8,57515916.75,-81565830.08
17,138.267846,305.9730024,-109776325.4,57515253.31,-79190866
18,139.2738643,306.8187641,-111478339.9,57514589.66,-76778206.23
19,140.2685174,307.7128886,-113127338.4,57513925.79,-74328998.17
20,141.2509047,308.658392,-114722536.3,57513261.7,-71844406.59
21,142.220044,309.6584782,-116263174.9,57512597.4,-69325613.09
22,143.1748651,310.7165388,-117748521,57511932.88,-66773815.56
23,144.1142012,311.8361493,-119177867.9,57511268.15,-64190227.57
24,145.036781,313.0210592,-120550535.6,57510603.21,-61576077.84
25,145.9412202,314.2751763,-121865871,57509938.05,-58932609.61
26,146.8260131,315.6025407,-123123248.1,57509272.68,-56261080.09
27,147.6895243,317.0072884,-124322068.8,57508607.09,-53562759.82
28,148.5299813,318.4936008,-125461762.5,57507941.28,-50838932.11
29,149.345468,320.065638,-126541787,57507275.27,-48090892.4
30,150.1339197,321.7274526,-127561628.2,57506609.03,-45319947.63
31,150.8931209,323.4828804,-128520801,57505942.59,-42527415.67
32,151.6207064,325.3354085,-129418848.7,57505275.92,-39714624.65
33,152.3141668,327.2880151,-130255344.1,57504609.05,-36882912.35
34,152.9708594,329.3429851,-131029889,57503941.96,-34033625.54
35,153.5880267,331.5017013,-131742114.7,57503274.65,-31168119.36
36,154.1628221,333.7644175,-132391682.3,57502607.13,-28287756.67
37,154.6923453,336.1300235,-132978282.5,57501939.39,-25393907.42
38,155.1736876,338.5958143,-133501636,57501271.44,-22487947.94
39,155.6039861,341.1572838,-133961493.7,57500603.28,-19571260.38
