(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,81.55467058,66.71132412,21603103.16,57525182.4,133686845.3
2,80.40720265,66.63306088,24521358.32,57525182.4,133182307.8
3,79.26045457,66.54430812,27419067.7,57524521.96,132616158.8
4,78.11452073,66.44488796,30303747.45,57523861.31,131986950.7
5,76.96949822,66.33459976,33174025.46,57523200.44,131294982.7
6,75.82548716,66.21321924,36028536.48,57522539.36,130540583.5
7,74.68259111,66.08049748,38865922.74,57521878.07,129724111.6
8,73.5409174,65.93615983,41684834.61,57521216.56,128845955.3
9,72.40057758,65.77990464,44483931.26,57520554.84,127906531.9
10,71.26168789,65.61140191,47261881.26,57519892.9,126906288
11,70.12436969,65.43029175,50017363.24,57519230.74,125845699.1
12,68.98875002,65.23618274,52749066.51,57518568.37,124725269.3
13,67.85496211,65.02865007,55455691.69,57517905.79,123545531.5
14,66.72314604,64.80723351,58135951.3,57517242.99,122307046.3
15,65.59344932,64.57143523,60788570.43,57516579.98,121010402.7
16,64.46602765,64.32071738,63412287.29,57515916.75,119656217.1
17,63.34104565,64.05449944,66005853.82,57515253.31,118245133.5
18,62.21867775,63.77215538,68568036.33,57514589.66,116777822.7
19,61.09910903,63.47301047,71097616.02,57513925.79,115254982.3
20,59.98253629,63.15633793,73593389.61,57513261.7,113677336.6
21,58.86916907,62.82135518,76054169.88,57512597.4,112045635.5
22,57.75923092,62.46721984,78478786.27,57511932.88,110360655.1
23,56.65296068,62.09302537,80866085.4,57511268.15,108623196.5
24,55.55061392,61.69779633,83214931.63,57510603.21,106834085.9
25,54.45246453,61.2804833,85524207.61,57509938.05,104994174
26,53.35880649,60.83995736,87792814.83,57509272.68,103104335.7
27,52.26995577,60.37500419,90019674.07,57508607.09,101165469.8
28,51.18625249,59.88431769,92203726.01,57507941.28,99178498.15
29,50.1080632,59.36649325,94343931.66,57507275.27,97144365.68
30,49.03578354,58.82002051,96439272.88,57506609.03,95064039.68
31,47.969841,58.2432757,98488752.88,57505942.59,92938509.44
32,46.91069814,57.63451367,100491396.7,57505275.92,90768785.73
33,45.85885598,56.99185952,102446251.5,57504609.05,88555900.37
34,44.81485787,56.31329998,104352387.4,57503941.96,86300905.7
35,43.77929361,55.59667467,106208897.6,57503274.65,84004874.09
36,42.7528041,54.83966742,108014898.8,57502607.13,81668897.46
37,41.73608635,54.03979775,109769531.9,57501939.39,79294086.68
38,40.72989895,53.19441306,111471961.9,57501271.44,76881571.15
39,39.73506811,52.30068165,113121379.1,57500603.28,74432498.18
40,38.75249409,51.35558735,114716998.7,57499934.9,71948032.48
41,37.78315816,50.35592624,116258061.4,57499266.31,69429355.6
42,36.82813009,49.29830649,117743834.2,57498597.5,66877665.35
43,35.88857594,48.17915222,119173610,57497928.47,64294175.28
44,34.96576635,46.99471284,120546708.7,57497259.24,61680114.04
45,34.06108488,45.74107945,121862476.8,57496589.78,59036724.84
46,33.17603654,44.41421012,123120288.4,57495920.12,56365264.84
47,32.31225592,43.00996646,124319544.9,57495250.24,53667004.56
48,31.47151487,41.52416385,125459675.6,57494580.14,50943227.28
49,30.65572892,39.95263822,126540138.1,57493909.83,48195228.39
50,29.8669622,38.29133226,127560418.2,57493239.3,45424314.85
51,29.10742972,36.5364038,128520030.4,57492568.56,42631804.5
52,28.37949642,34.68435884,129418517.9,57491897.61,39819025.45
53,27.68567165,32.73221052,130255453.2,57491226.44,36987315.47
54,27.02859815,30.67766426,131030437.9,57490555.06,34138021.35
55,26.41103398,28.51932633,131743103.3,57489883.46,31272498.22
56,25.83582651,26.2569308,132393109.9,57489211.64,28392108.96
57,25.30587721,23.89157524,132980148.6,57488539.62,25498223.51
58,24.82409667,21.42595136,133503939.6,57487867.37,22592218.24
59,24.39334991,18.8645524,133964233.7,57487194.92,19675475.31
60,24.01639265,16.21383489,134360811.6,57486522.24,16749381.96
61,23.6958005,13.4823109,134693484.5,57485849.36,13815329.9
62,23.43389405,10.68054723,134962093.9,57485176.26,10874714.64
63,23.23266398,7.821053254,135166511.7,57484502.94,7928934.796
64,23.09370101,4.918047388,135306640.5,57483829.41,4979391.462
65,23.01813611,1.987104981,135382413.2,57483155.67,2027487.523
66,23.00659584,359.0447043,135393793.7,57482481.71,-925373.0046
