(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,75.47101526,293.828244,36901515.59,57525182.4,-130210947.1
2,76.61462192,293.702797,34043450.82,57525182.4,-130986986.4
3,77.75928187,293.5885215,31177968.75,57524521.96,-131698503.7
4,78.90489383,293.4851851,28297645.69,57523861.31,-132347363.6
5,80.05135972,293.3925795,25403851.56,57523200.44,-132933257.1
6,81.19858423,293.3105192,22497962.69,57522539.36,-133455905.3
7,82.34647454,293.2388409,19581361.16,57521878.07,-133915059.4
8,83.49494,293.1774029,16655434.15,57521216.56,-134310500.7
9,84.64389179,293.1260845,13721573.31,57520554.84,-134642040.9
10,85.79324263,293.0847852,10781174.02,57519892.9,-134909522.1
11,86.94290653,293.0534245,7835634.833,57519230.74,-135112816.7
12,88.09279848,293.0319415,4886356.704,57518568.37,-135251827.8
13,89.24283416,293.0202947,1934742.396,57517905.79,-135326488.9
14,90.39292972,293.0184616,-1017804.215,57517242.99,-135336764.4
15,91.54300148,293.0264391,-3969878.806,57516579.98,-135282649.1
16,92.69296568,293.0442429,-6920077.271,57515916.75,-135164168.4
17,93.84273822,293.0719078,-9866996.39,57515253.31,-134981378.5
18,94.99223437,293.1094881,-12809234.5,57514589.66,-134734366
19,96.14136853,293.1570574,-15745392.15,57513925.79,-134423248.1
20,97.29005392,293.2147093,-18674072.79,57513261.7,-134048172.6
21,98.43820235,293.2825575,-21593883.41,57512597.4,-133609317.5
22,99.58572385,293.3607364,-24503435.21,57511932.88,-133106891.4
23,100.7325265,293.4494019,-27401344.27,57511268.15,-132541133
24,101.8785158,293.5487317,-30286232.21,57510603.21,-131912311
25,103.0235949,293.6589261,-33156726.82,57509938.05,-131220724.4
26,104.1676636,293.7802094,-36011462.74,57509272.68,-130466701.8
27,105.3106185,293.9128302,-38849082.1,57508607.09,-129650601.6
28,106.4523523,294.0570631,-41668235.16,57507941.28,-128772811.6
29,107.5927535,294.2132094,-44467580.97,57507275.27,-127833749.2
30,108.731706,294.381599,-47245787.97,57506609.03,-126833860.7
31,109.8690885,294.5625915,-50001534.68,57505942.59,-125773621.6
32,111.0047741,294.7565781,-52733510.28,57505275.92,-124653535.7
33,112.1386295,294.9639835,-55440415.26,57504609.05,-123474135.6
34,113.2705148,295.1852674,-58120962,57503941.96,-122235982
