(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,118.1321866,63.67469556,-69356057.33,57525182.4,116306226.4
2,117.0108499,63.96289519,-66796231.8,57525182.4,117795543.2
3,115.8868296,64.23475122,-64212542.21,57524521.96,119224456.2
4,114.7603038,64.49090528,-61598300.41,57523861.31,120596687.9
5,113.6314403,64.73195251,-58954749.7,57523200.44,121911585.3
6,112.5003979,64.9584445,-56283147.3,57522539.36,123168522.9
7,111.3673268,65.17089202,-53584763.81,57521878.07,124366902.4
8,110.2323697,65.36976749,-50860882.55,57521216.56,125506153.7
9,109.0956621,65.55550722,-48112799,57520554.84,126585734.7
10,107.9573331,65.72851357,-45341820.12,57519892.9,127605131.7
11,106.817506,65.88915672,-42549263.8,57519230.74,128563859.5
12,105.6762987,66.03777651,-39736458.17,57518568.37,129461461.9
13,104.5338244,66.17468392,-36904741.02,57517905.79,130297511.7
14,103.3901918,66.30016253,-34055459.12,57517242.99,131071611
15,102.2455058,66.41446981,-31189967.61,57516579.98,131783391.4
16,101.0998676,66.51783822,-28309629.36,57515916.75,132432514
17,99.95337524,66.6104763,-25415814.28,57515253.31,133018669.9
18,98.80612409,66.69256955,-22509898.71,57514589.66,133541580
19,97.65820693,66.76428128,-19593264.75,57513925.79,134000995.3
20,96.50971439,66.82575327,-16667299.6,57513261.7,134396697.1
21,95.36073529,66.87710641,-13733394.91,57512597.4,134728496.9
22,94.21135686,66.91844121,-10792946.11,57511932.88,134996236.6
23,93.06166511,66.94983824,-7847351.747,57511268.15,135199788.5
24,91.91174502,66.97135847,-4898012.82,57510603.21,135339055.7
25,90.76168088,66.98304351,-1946332.118,57509938.05,135413971.6
26,89.61155653,66.98491582,1006286.454,57509272.68,135424500.3
27,88.46145562,66.97697875,3958438.536,57508607.09,135370636.5
28,87.3114619,66.95921662,6908719.984,57507941.28,135252405.6
29,86.16165945,66.9315946,9855727.54,57507275.27,135069863.6
30,85.01213296,66.89405859,12798059.5,57506609.03,134823097
31,83.86296802,66.84653499,15734316.36,57505942.59,134512222.9
32,82.71425137,66.78893035,18663101.53,57505275.92,134137388.9
