(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,36.62795561,311.0749531,118050477,57663270.06,-66116844.15
2,37.5775228,310.000768,116575028.1,57663270.06,-68683321.06
3,38.54174198,308.9853499,115048776.4,57662654.06,-71209335.53
4,39.51951843,308.02528,113467798.3,57662037.85,-73701470.02
5,40.50984764,307.1173241,111832845.7,57661421.42,-76158539.05
6,41.51180778,306.258433,110144695.9,57660804.77,-78579373.85
7,42.52455271,305.445741,108404151.8,57660187.9,-80962822.86
8,43.5473054,304.6765609,106612040.9,57659570.82,-83307752.31
9,44.57935185,303.9483777,104769215.4,57658953.52,-85613046.73
10,45.62003555,303.2588414,102876551.7,57658336.01,-87877609.52
11,46.66875227,302.6057586,100934949.8,57657718.27,-90100363.43
12,47.72494547,301.9870841,98945332.88,57657100.32,-92280251.1
13,48.78810195,301.4009126,96908647.22,57656482.16,-94416235.55
14,49.857748,300.8454697,94825861.3,57655863.77,-96507300.68
15,50.93344583,300.319104,92697965.58,57655245.17,-98552451.75
16,52.01479039,299.8202786,90525971.97,57654626.36,-100550715.9
17,53.10140646,299.3475643,88310913.39,57654007.32,-102501142.4
18,54.19294594,298.8996313,86053843.2,57653388.07,-104402803.5
19,55.28908552,298.4752434,83755834.78,57652768.6,-106254794.5
20,56.3895245,298.0732507,81417980.98,57652148.92,-108056234.4
21,57.49398276,297.6925842,79041393.59,57651529.02,-109806266.1
22,58.60219901,297.3322503,76627202.85,57650908.9,-111504057.1
23,59.71392915,296.9913249,74176556.87,57650288.57,-113148799.7
24,60.82894478,296.6689495,71690621.11,57649668.01,-114739711.4
25,61.94703187,296.3643262,69170577.82,57649047.25,-116276035.2
26,63.06798951,296.076714,66617625.49,57648426.26,-117757040.4
27,64.1916288,295.8054245,64032978.24,57647805.06,-119182022.2
28,65.3177718,295.549819,61417865.29,57647183.64,-120550302.7
29,66.44625064,295.3093051,58773530.34,57646562.01,-121861230.9
30,67.57690664,295.0833334,56101231.01,57645940.15,-123114183
31,68.7095895,294.8713957,53402238.22,57645318.08,-124308562.9
32,69.84415663,294.6730215,50677835.58,57644695.8,-125443802.3
33,70.9804724,294.4877765,47929318.81,57644073.3,-126519361
34,72.11840764,294.3152602,45157995.08,57643450.58,-127534727.2
35,73.25783897,294.1551042,42365182.44,57642827.64,-128489417.8
36,74.39864833,294.0069701,39552209.14,57642204.49,-129382978.5
37,75.54072245,293.8705487,36720413.04,57641581.12,-130214983.9
38,76.68395245,293.7455578,33871140.95,57640957.53,-130985038.2
