(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index],Third Euler Angle
70,156.5677332,349.3109266,-134963722.5,57479783.73,-10798227.02,262.9149346
71,156.7691458,352.1705876,-135168311.7,57479108.69,-7852409.566,261.6615122
72,156.9082884,355.0738129,-135308611,57478433.45,-4902824.876,260.4080898
73,156.9840283,358.0050256,-135384553.4,57477757.98,-1950875.855,259.1546674
74,156.9957376,0.947743882,-135396102.4,57477082.31,1002033.462,257.901245
75,156.943318,3.885106975,-135343252.4,57476406.42,3954498.575,256.6478226
76,156.8272056,6.800431114,-135226028.1,57475730.31,6905115.191,255.3944002
77,156.6483527,9.67775155,-135044485.1,57475053.99,9852479.889,254.1409778
78,156.4081895,12.5023068,-134798709.4,57474377.46,12795190.79,252.8875555
79,156.1085696,15.26093063,-134488817.7,57473700.71,15731848.22,251.6341331
80,155.7517028,17.94232967,-134114957.2,57473023.75,18661055.39,250.3807107
81,155.3400814,20.53723917,-133677305.2,57472346.57,21581419.02,249.1272883
82,154.8764048,23.03846231,-133176069.8,57471669.18,24491550.07,247.8738659
83,154.3635066,25.4408091,-132611489.1,57470991.57,27390064.33,246.6204435
84,153.8042881,27.74095696,-131983831.3,57470313.75,30275583.12,245.3670211
85,153.2016603,29.93725694,-131293394.7,57469635.71,33146733.94,244.1135988
86,152.5584952,32.0295091,-130540507.5,57468957.46,36002151.1,242.8601764
87,151.877587,34.01872662,-129725527.5,57468279,38840476.42,241.606754
88,151.1616232,35.90690434,-128848842,57467600.32,41660359.81,240.3533316
89,150.4131632,37.69680251,-127910867.7,57466921.42,44460459.97,239.0999092
90,149.6346256,39.39175276,-126912050.6,57466242.32,47239444.99,237.8464868
91,148.8282802,40.99548943,-125852865.5,57465562.99,49995993,236.5930644
92,147.9962459,42.5120072,-124733815.9,57464883.45,52728792.79,235.339642
93,147.1404917,43.94544402,-123555433.7,57464203.7,55436544.47,234.0862197
94,146.262841,45.2999871,-122318279.3,57463523.74,58117960.01,232.8327973
95,145.3649773,46.5797995,-121022940.7,57462843.55,60771763.95,231.5793749
96,144.4484517,47.78896413,-119670033.9,57462163.16,63396693.91,230.3259525
97,143.5146909,48.93144264,-118260202.2,57461482.55,65991501.28,229.0725301
98,142.5650054,50.01104625,-116794115.7,57460801.72,68554951.75,227.8191077
99,141.6005981,51.0314164,-115272471.7,57460120.68,71085825.93,226.5656853
100,140.6225729,51.99601311,-113695993.6,57459439.43,73582919.89,225.312263
101,139.6319421,52.90810924,-112065430.9,57458757.96,76045045.81,224.0588406
102,138.6296344,53.77078935,-110381559.2,57458076.28,78471032.45,222.8054182
103,137.6165022,54.58695201,-108645178.9,57457394.38,80859725.79,221.5519958
104,136.5933276,55.35931449,-106857115.8,57456712.27,83209989.52,220.2985734
105,135.5608292,56.0904192,-105018220.2,57456029.94,85520705.61,219.045151
106,134.5196678,56.78264129,-103129366.3,57455347.4,87790774.84,217.7917286
107,133.4704508,57.43819695,-101191452.5,57454664.65,90019117.32,216.5383062
108,132.413738,58.05915207,-99205400.3,57453981.68,92204673,215.2848839
109,131.3500451,58.64743098,-97172154.06,57453298.49,94346402.15,214.0314615
110,130.2798482,59.20482515,-95092680.69,57452615.09,96443285.93,212.7780391
111,129.2035869,59.73300162,-92967969.07,57451931.48,98494326.79,211.5246167
112,128.1216681,60.23351118,-90799029.57,57451247.65,100498549,210.2711943
113,127.0344684,60.70779615,-88586893.65,57450563.61,102454999.1,209.0177719
114,125.9423371,61.15719771,-86332613.28,57449879.35,104362746.2,207.7643495
115,124.8455986,61.58296289,-84037260.49,57449194.88,106220882.9,206.5109272
116,123.7445545,61.98625104,-81701926.86,57448510.19,108028525.1,205.2575048
117,122.6394858,62.36813992,-79327722.98,57447825.29,109784812.8,204.0040824
118,121.5306542,62.72963136,-76915777.94,57447140.18,111488910.4,202.75066
119,120.4183045,63.07165648,-74467238.78,57446454.85,113140007.2,201.4972376
120,119.3026654,63.39508058,-71983269.96,57445769.31,114737317.7,200.2438152
121,118.1839513,63.70070759,-69465052.77,57445083.55,116280081.9,198.9903928
122,117.0623635,63.98928427,-66913784.83,57444397.57,117767565.7,197.7369704
123,115.9380909,64.26150397,-64330679.46,57443711.39,119199061.5,196.4835481
124,114.8113117,64.51801019,-61716965.15,57443024.99,120573888,195.2301257
125,113.6821937,64.75939979,-59073884.92,57442338.37,121891391.3,193.9767033
126,112.5508959,64.98622595,-56402695.81,57441651.54,123150944.2,192.7232809
127,111.4175683,65.19900094,-53704668.19,57440964.49,124351947.7,191.4698585
128,110.2823535,65.39819852,-50981085.22,57440277.23,125493830,190.2164361
129,109.1453871,65.58425632,-48233242.23,57439589.76,126576048,188.9630137
130,108.0067982,65.75757787,-45462446.07,57438902.07,127598086.5,187.7095913
131,106.8667099,65.91853449,-42670014.55,57438214.17,128559459.2,186.456169
132,105.7252402,66.06746708,-39857275.73,57437526.05,129459708.6,185.2027466
133,104.582502,66.20468763,-37025567.37,57436837.72,130298406.2,183.9493242
134,103.4386041,66.33048067,-34176236.24,57436149.17,131075152.8,182.6959018
135,102.2936511,66.44510457,-31310637.51,57435460.41,131789578.8,181.4424794
136,101.1477442,66.54879269,-28430134.08,57434771.44,132441344.1,180.189057
137,100.0009814,66.64175439,-25536095.96,57434082.25,133030138.3,178.9356346
138,98.85345783,66.72417601,-22629899.6,57433392.84,133555681.2,177.6822123
139,97.70526612,66.79622163,-19712927.22,57432703.23,134017722.6,176.4287899
140,96.55649679,66.85803382,-16786566.2,57432013.39,134416042.3,175.1753675
141,95.4072385,66.90973422,-13852208.37,57431323.35,134750450.7,173.9219451
142,94.25757832,66.9514241,-10911249.38,57430633.08,135020788.5,172.6685227
143,93.10760206,66.98318479,-7965088.014,57429942.61,135226926.7,171.4151003
144,91.95739455,67.00507798,-5015125.559,57429251.92,135368767.1,170.1616779
145,90.80703988,67.01714604,-2062765.095,57428561.01,135446241.9,168.9082555
146,89.65662167,67.01941217,890589.1411,57427869.89,135459313.9,167.6548332
147,88.50622338,67.01188049,3843532.438,57427178.56,135407976.8,166.4014108
148,87.35592852,66.99453608,6794660.272,57426487.01,135292254.6,165.1479884
149,86.20582094,66.96734489,9742568.977,57425795.25,135112202.1,163.894566
150,85.0559851,66.93025363,12685856.41,57425103.27,134867904.7,162.6411436
151,83.9065063,66.88318951,15623122.63,57424411.08,134559478.2,161.3877212
152,82.75747103,66.82605993,18552970.53,57423718.68,134187069.1,160.1342988
153,81.60896717,66.7587521,21474006.56,57423026.06,133750854.3,158.8808765
154,80.46108435,66.68113257,24384841.32,57422333.22,133251041,157.6274541
155,79.31391419,66.59304659,27284090.28,57421640.17,132687866.5,156.3740317
156,78.16755068,66.49431752,30170374.41,57420946.91,132061598.5,155.1206093
157,77.02209044,66.38474598,33042320.83,57420253.43,131372534.7,153.8671869
158,75.87763315,66.26410903,35898563.49,57419559.74,130621002.4,152.6137645
159,74.73428183,66.13215915,38737743.78,57418865.83,129807358.9,151.3603421
160,73.59214329,65.98862315,41558511.22,57418171.71,128931990.9,150.1069197
161,72.45132854,65.83320089,44359524.08,57417477.38,127995314.4,148.8534974
162,71.3119532,65.66556399,47139450.02,57416782.83,126997774.8,147.600075
163,70.17413802,65.48535424,49896966.7,57416088.06,125939846.1,146.3466526
