(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,93.848603,293.0765572,-9873014.544,57525182.4,-134976791.7
2,94.99805887,293.1141965,-12824138.17,57525182.4,-134728516.4
3,96.14715215,293.1618268,-15760163.99,57524521.96,-134417073.3
4,97.29579604,293.2195417,-18688705.7,57523861.31,-134041675.6
5,98.44390229,293.287455,-21608370.36,57523200.44,-133602501.5
6,99.59138091,293.3657014,-24517769.25,57522539.36,-133099759.6
7,100.7381399,293.4544367,-27415518.53,57521878.07,-132533688.8
8,101.8840848,293.5538388,-30300239.87,57521216.56,-131904558.1
9,103.0291186,293.6641082,-33170561.16,57520554.84,-131212666.4
10,104.1731412,293.7854693,-36025117.11,57519892.9,-130458342.6
11,105.316049,293.9181708,-38862549.95,57519230.74,-129641945.2
12,106.4577347,294.0624875,-41681510.03,57518568.37,-128763862.3
13,107.5980867,294.2187209,-44480656.48,57517905.79,-127824511.2
14,108.736989,294.387201,-47258657.84,57517242.99,-126824338.5
15,109.87432,294.5682877,-50014192.74,57516579.98,-125763819.6
16,111.0099528,294.7623722,-52745950.45,57515916.75,-124643458.7
17,112.1437542,294.9698794,-55452631.56,57515253.31,-123463788.5
18,113.2755841,295.1912694,-58132948.58,57514589.66,-122225369.8
19,114.405295,295.4270401,-60785626.55,57513925.79,-120928791.3
20,115.5327313,295.6777292,-63409403.66,57513261.7,-119574669.6
21,116.6577283,295.9439171,-66003031.84,57512597.4,-118163648.5
22,117.7801117,296.2262299,-68565277.34,57511932.88,-116696398.8
23,118.8996963,296.5253422,-71094921.35,57511268.15,-115173618.2
24,120.0162855,296.8419807,-73590760.56,57510603.21,-113596030.8
25,121.1296697,297.1769279,-76051607.71,57509938.05,-111964386.6
26,122.2396254,297.5310261,-78476292.2,57509272.68,-110279461.6
27,123.3459138,297.9051819,-80863660.63,57508607.09,-108542056.8
28,124.4482793,298.3003704,-83212577.33,57507941.28,-106752998.6
29,125.5464481,298.7176411,-85521924.91,57507275.27,-104913137.5
30,126.6401264,299.1581228,-87790604.82,57506609.03,-103023348.4
31,127.728998,299.6230298,-90017537.82,57505942.59,-101084530.1
32,128.8127231,300.1136679,-92201664.54,57505275.92,-99097604.44
33,129.8909351,300.6314418,-94341945.95,57504609.05,-97063516.3
34,130.9632383,301.1778616,-96437363.89,57503941.96,-94983232.96
35,132.0292055,301.7545511,-98486921.53,57503274.65,-92857743.68
36,133.088374,302.3632552,-100489643.8,57502607.13,-90688059.23
37,134.140243,303.0058488,-102444578,57501939.39,-88475211.39
38,135.1842691,303.6843451,-104350794.1,57501271.44,-86220252.5
39,136.2198627,304.4009042,-106207385.2,57500603.28,-83924254.91
40,137.246383,305.1578424,-108013468.1,57499934.9,-81588310.5
41,138.263133,305.9576399,-109768183.4,57499266.31,-79213530.17
42,139.2693543,306.8029493,-111470696.5,57498597.5,-76801043.26
43,140.2642206,307.6966022,-113120197.3,57497928.47,-74351997.09
44,141.2468321,308.6416149,-114715901,57497259.24,-71867556.35
45,142.2162073,309.6411911,-116257048.4,57496589.78,-69348902.57
46,143.1712768,310.6987229,-117742906.3,57495920.12,-66797233.58
47,144.1108746,311.8177861,-119172767.8,57495250.24,-64213762.88
48,145.0337301,313.0021316,-120545952.5,57494580.14,-61599719.14
49,145.9384601,314.2556685,-121861807,57493909.83,-58956345.54
50,146.8235595,315.5824391,-123119705.3,57493239.3,-56284899.25
51,147.687394,316.9865823,-124319048.7,57492568.56,-53586650.78
52,148.5281918,318.4722833,-125459266.7,57491897.61,-50862883.39
53,149.3440376,320.0437069,-126539816.6,57491226.44,-48114892.49
54,150.1328673,321.7049116,-127560184.3,57490555.06,-45343985.02
55,150.892466,323.4597406,-128519884.1,57489883.46,-42551478.81
56,151.6204689,325.3116894,-129418459.3,57489211.64,-39738701.99
57,152.3143665,327.2637466,-130255482.4,57488539.62,-36906992.31
58,152.9715161,329.3182086,-131030554.9,57487867.37,-34057696.56
59,153.5891596,331.4764714,-131743308,57487194.92,-31192169.89
60,154.1644494,333.7388034,-132393402.2,57486522.24,-28311775.16
61,154.6944838,336.1041095,-132980528.3,57485849.36,-25417882.33
62,155.1763519,338.5697007,-133504406.6,57485176.26,-22511867.77
63,155.6071882,341.1310862,-133964787.8,57484502.94,-19595113.63
64,155.9842364,343.781812,-134361452.5,57483829.41,-16669007.16
65,156.3049204,346.513368,-134694211.9,57483155.67,-13734940.1
66,156.5669188,349.3151889,-134962907.4,57482481.71,-10794307.93
67,156.7682402,352.1747663,-135167410.9,57481807.53,-7848509.298
68,156.907293,355.0778818,-135307625,57481133.15,-4898945.303
69,156.9829454,358.0089592,-135383482.5,57480458.54,-1947018.84
70,156.9945702,0.951518601,-135394947.3,57479783.73,1005866.066
71,156.9420699,3.88870158,-135342013.6,57479108.69,3958304.928
72,156.8258813,6.803827601,-135224706.2,57478433.45,6908893.465
73,156.6469569,9.680935595,-135043080.7,57477757.98,9856228.27
74,156.4067276,12.50526803,-134797223.3,57477082.31,12798907.48
75,156.1070471,15.26366268,-134487250.5,57476406.42,15735531.43
76,155.7501253,17.94483003,-134113309.6,57475730.31,18664703.35
77,155.3384545,20.53950883,-133675578.1,57475053.99,21585029.99
78,154.8747339,23.04050533,-133174264,57474377.46,24495122.31
79,154.3617969,25.44263214,-132609605.4,57473700.71,27393596.12
80,153.8025446,27.74256865,-131981870.7,57473023.75,30279072.77
81,153.1998877,29.93866744,-131291358.2,57472346.57,33150179.77
82,152.5566977,32.03072956,-130538395.9,57471669.18,36005551.47
83,151.8757686,34.0197688,-129723341.9,57470991.57,38843829.68
84,151.1597874,35.90778021,-128846583.5,57470313.75,41663664.36
85,150.4113133,37.697524,-127908537.4,57469635.71,44463714.21
86,149.6327644,39.39233154,-126909649.5,57468957.46,47242647.37
87,148.8264102,40.9959367,-125850394.8,57468279,49999141.98
88,147.9943694,42.51233365,-124731276.8,57467600.32,52731886.86
89,147.1386107,43.94565968,-123552827.4,57466921.42,55439582.14
90,146.2609572,45.30010137,-122315607.1,57466242.32,58120939.83
91,145.3630923,46.57982107,-121020203.9,57465562.99,60774684.48
92,144.4465669,47.78890106,-119667233.8,57464883.45,63399553.76
93,143.5128074,48.9313023,-118257340,57464203.7,65994299.07
94,142.5631242,50.01083541,-116791193,57463523.74,68557686.13
95,141.5987202,51.03114123,-115269489.7,57462843.55,71088495.59
96,140.6206989,51.99567922,-113692953.8,57462163.16,73585523.56
97,139.6300728,52.90772173,-112062334.9,57461482.55,76047582.23
98,138.6277703,53.77035285,-110378408.3,57460801.72,78473500.41
