(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,25.32837449,23.60692365,132958080.2,57663270.06,25242925.92
2,24.85237736,21.13903041,133477523,57663270.06,22328490.76
3,24.42754728,18.57662774,133932039.7,57662654.06,19412396.11
4,24.05660467,15.92632995,134322856,57662037.85,16487077.58
5,23.74208376,13.19678405,134649785.8,57661421.42,13553926.51
6,23.48625842,10.39865804,134912673.3,57660804.77,10614337.95
7,23.29106857,7.544518384,135111393.3,57660187.9,7669710.036
8,23.1580519,4.648588388,135245850.9,57659570.82,4721443.298
9,23.08828607,1.726391209,135315982,57658953.52,1770940.003
10,23.08234634,358.7942954,135321753,57658336.01,-1180396.515
11,23.14028223,355.8689938,135263160.9,57657718.27,-4131162.518
12,23.26161552,352.9669562,135140233.4,57657100.32,-7079954.534
13,23.44535965,350.1039002,134953028.6,57656482.16,-10025370.03
14,23.6900589,347.2943214,134701635.4,57655863.77,-12966008.06
15,23.99384356,344.5511168,134386173.1,57655245.17,-15900469.96
16,24.35449667,341.8853208,134006791.5,57654626.36,-18827359.99
17,24.76952705,339.3059607,133563670.8,57654007.32,-21745286.01
18,25.23624364,336.820026,133057021.5,57653388.07,-24652860.14
19,25.75182692,334.4325332,132487084.4,57652768.6,-27548699.41
20,26.31339409,332.1466682,131854130.3,57652148.92,-30431426.43
21,26.91805588,329.9639778,131158460,57651529.02,-33299670.04
22,27.56296387,327.8845925,130400404.1,57650908.9,-36152065.98
23,28.24534816,325.9074581,129580323.1,57650288.57,-38987257.5
24,28.96254577,324.0305626,128698606.6,57649668.01,-41803896.04
25,29.71202085,322.2511478,127755673.9,57649047.25,-44600641.84
26,30.49137763,320.5658993,126751973.2,57648426.26,-47376164.63
27,31.29836745,318.971111,125687981.7,57647805.06,-50129144.21
28,32.13089111,317.4628244,124564205.1,57647183.64,-52858271.08
29,32.98699751,316.0369424,123381177.8,57646562.01,-55562247.12
30,33.86487963,314.6893217,122139462.2,57645940.15,-58239786.14
31,34.76286856,313.4158442,120839648.8,57645318.08,-60889614.52
32,35.67942634,312.2124718,119482355.4,57644695.8,-63510471.82
33,36.61313802,311.0752862,118068227.6,57644073.3,-66101111.39
34,37.56270335,310.0005181,116597937.5,57643450.58,-68660300.91
35,38.52692849,308.9845656,115072184.5,57642827.64,-71186823.05
36,39.50471776,308.0240058,113491693.8,57642204.49,-73679475.99
37,40.49506579,307.1156004,111857217.1,57641581.12,-76137074.04
38,41.49705004,306.2562967,110169531.6,57640957.53,-78558448.14
39,42.50982368,305.4432255,108429439.7,57640333.73,-80942446.5
40,43.53260912,304.6736967,106637769,57639709.71,-83287935.07
41,44.56469187,303.9451924,104795371.3,57639085.47,-85593798.12
42,45.60541494,303.25536,102903122.8,57638461.02,-87858938.76
43,46.65417376,302.6020038,100961923.3,57637836.35,-90082279.48
44,47.71041143,301.9830764,98972695.94,57637211.46,-92262762.62
45,48.77361447,301.3966706,96936386.63,57636586.36,-94399350.94
46,49.84330889,300.8410101,94853963.74,57635961.04,-96491028.03
47,50.9190567,300.3144418,92726417.55,57635335.5,-98536798.86
48,52.00045266,299.8154276,90554759.81,57634709.75,-100535690.2
49,53.08712135,299.3425368,88340023.26,57634083.78,-102486751.2
50,54.17871456,298.8944384,86083261.13,57633457.59,-104389053.7
51,55.27490886,298.469895,83785546.64,57632831.19,-106241692.7
52,56.37540341,298.0677559,81447972.5,57632204.57,-108043786.8
53,57.47991802,297.686951,79071650.37,57631577.73,-109794478.7
54,58.58819132,297.3264858,76657710.35,57630950.68,-111492935.6
55,59.69997914,296.9854357,74207300.44,57630323.41,-113138349.3
56,60.81505303,296.6629412,71721586,57629695.92,-114729937.2
57,61.93319892,296.358204,69201749.15,57629068.22,-116266941.9
58,63.05421585,296.0704822,66648988.29,57628440.29,-117748632.3
59,64.17791489,295.7990871,64064517.45,57627812.16,-119174303.3
60,65.3041181,295.5433794,61449565.76,57627183.8,-120543276.7
61,66.43265757,295.3027662,58805376.86,57626555.23,-121854901.2
62,67.56337462,295.0766979,56133208.28,57625926.44,-123108552.6
63,68.69611895,294.8646656,53434330.89,57625297.44,-124303634.6
64,69.83074795,294.6661986,50710028.24,57624668.22,-125439578.3
65,70.96712602,294.4808621,47961596,57624038.78,-126515843.4
66,72.10512397,294.3082555,45190341.31,57623409.13,-127531917.7
67,73.24461844,294.1480098,42397582.17,57622779.26,-128487317.7
68,74.38549138,293.9997866,39584646.81,57622149.17,-129381588.7
69,75.52762956,293.8632763,36752873.09,57621518.87,-130214305.2
70,76.67092409,293.7381964,33903607.79,57620888.35,-130985070.8
71,77.81527004,293.6242905,31038206.05,57620257.61,-131693518.8
72,78.960566,293.5213275,28158030.67,57619626.65,-132339311.9
73,80.10671372,293.4290997,25264451.5,57618995.48,-132922142.7
74,81.25361777,293.3474227,22358844.76,57618364.1,-133441733.9
75,82.40118516,293.2761342,19442592.38,57617732.49,-133897837.9
76,83.54932505,293.2150935,16517081.39,57617100.67,-134290237.6
77,84.69794845,293.1641805,13583703.21,57616468.63,-134618746.2
78,85.84696789,293.1232957,10643853,57615836.38,-134883207.2
79,86.99629718,293.0923596,7698929.038,57615203.91,-135083494.5
80,88.14585108,293.071312,4750331.981,57614571.22,-135219512.5
81,89.29554506,293.0601123,1799464.258,57613938.32,-135291196.5
82,90.44529503,293.058739,-1152270.619,57613305.2,-135298511.9
83,91.59501707,293.0671896,-4103468.72,57612671.86,-135241455.2
84,92.74462715,293.085481,-7052726.367,57612038.31,-135120053.2
85,93.89404089,293.1136488,-9998640.798,57611404.54,-134934363.3
86,95.04317328,293.1517481,-12939810.84,57610770.55,-134684473.7
87,96.19193842,293.1998537,-15874837.55,57610136.35,-134370503
88,97.34024921,293.2580601,-18802324.94,57609501.93,-133992600.2
89,98.48801711,293.3264819,-21720880.58,57608867.29,-133550944.9
90,99.63515181,293.4052546,-24629116.26,57608232.44,-133045746.8
91,100.781561,293.4945352,-27525648.72,57607597.37,-132477246
92,101.9271498,293.5945025,-30409100.24,57606962.08,-131845712.7
93,103.071821,293.7053581,-33278099.29,57606326.58,-131151447
94,104.2154739,293.8273274,-36131281.26,57605690.86,-130394778.8
95,105.3580046,293.9606604,-38967289.01,57605054.92,-129576067.9
96,106.4993054,294.1056328,-41784773.6,57604418.77,-128695703.3
97,107.6392643,294.2625475,-44582394.86,57603782.4,-127754103.6
98,108.7777645,294.4317359,-47358822.1,57603145.81,-126751716.4
99,109.9146842,294.613559,-50112734.68,57602509.01,-125689018.2
100,111.0498958,294.8084098,-52842822.67,57601871.99,-124566514.2
101,112.1832655,295.0167145,-55547787.46,57601234.76,-123384738.2
102,113.3146527,295.2389348,-58226342.4,57600597.3,-122144251.9
103,114.4439091,295.4755703,-60877213.38,57599959.64,-120845645.1
104,115.5708785,295.7271604,-63499139.46,57599321.75,-119489535.3
105,116.6953954,295.9942876,-66090873.47,57598683.65,-118076567.2
106,117.8172846,296.2775796,-68651182.57,57598045.33,-116607412.7
107,118.9363603,296.5777133,-71178848.9,57597406.79,-115082770.4
108,120.0524247,296.8954176,-73672670.08,57596768.04,-113503365.2
109,121.1652673,297.2314771,-76131459.86,57596129.08,-111869948
110,122.2746636,297.5867367,-78554048.61,57595489.89,-110183295.6
111,123.3803737,297.9621052,-80939283.95,57594850.49,-108444210
112,124.4821407,298.3585606,-83286031.24,57594210.87,-106653518.2
113,125.5796896,298.7771551,-85593174.14,57593571.04,-104812071.7
114,126.672725,299.2190203,-87859615.16,57592930.99,-102920746
115,127.7609295,299.6853733,-90084276.15,57592290.72,-100980440.6
116,128.8439615,300.1775234,-92266098.83,57591650.24,-98992078.21
117,129.9214527,300.6968781,-94404045.3,57591009.54,-96956604.3
118,130.9930056,301.2449509,-96497098.5,57590368.62,-94874986.84
119,132.0581909,301.8233688,-98544262.76,57589727.49,-92748215.73
120,133.1165439,302.4338801,-100544564.2,57589086.14,-90577302.35
121,134.1675614,303.078363,-102497051.2,57588444.57,-88363279.08
122,135.2106976,303.7588337,-104400795,57587802.79,-86107198.8
123,136.2453602,304.4774556,-106254889.8,57587160.79,-83810134.42
124,137.2709056,305.2365477,-108058453.7,57586518.57,-81473178.32
125,138.2866338,306.0385928,-109810628.5,57585876.14,-79097441.88
126,139.2917832,306.8862455,-111510580.7,57585233.49,-76684054.92
127,140.2855241,307.7823387,-113157501.6,57584590.63,-74234165.17
128,141.2669529,308.7298892,-114750607.6,57583947.54,-71748937.72
129,142.2350846,309.7321002,-116289140.8,57583304.25,-69229554.49
130,143.1888456,310.7923618,-117772369.2,57582660.73,-66677213.64
131,144.1270657,311.9142462,-119199587.1,57582017,-64093129.02
132,145.0484702,313.1014982,-120570115.4,57581373.05,-61478529.55
133,145.9516714,314.3580184,-121883302.1,57580728.89,-58834658.72
134,146.8351599,315.6878372,-123138522.4,57580084.51,-56162773.91
135,147.6972969,317.095078,-124335178.9,57579439.91,-53464145.83
136,148.5363068,318.5839056,-125472702.4,57578795.1,-50740057.94
137,149.3502702,320.1584594,-126550551.5,57578150.07,-47991805.78
138,150.1371198,321.822766,-127568213.4,57577504.82,-45220696.43
139,150.8946382,323.5806304,-128525203.7,57576859.36,-42428047.81
140,151.6204589,325.4355025,-129421067.1,57576213.68,-39615188.1
141,152.3120722,327.3903171,-130255377.3,57575567.79,-36783455.11
142,152.9668367,329.4473095,-131027737,57574921.67,-33934195.62
143,153.5819974,331.607807,-131737778.9,57574275.34,-31068764.76
144,154.1547122,333.8720027,-132385164.8,57573628.8,-28188525.35
145,154.6820876,336.2387222,-132969586.7,57572982.04,-25294847.26
146,155.1612236,338.705195,-133490766.3,57572335.06,-22389106.76
147,155.5892688,341.2668509,-133948455.5,57571687.87,-19472685.86
148,155.963484,343.9171625,-134342436.3,57571040.46,-16546971.65
149,156.2813127,346.6475577,-134672521.1,57570392.83,-13613355.67
150,156.5404561,349.4474259,-134938552.7,57569744.99,-10673233.19
151,156.7389469,352.3042344,-135140404.2,57569096.93,-7728002.595
