(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,142.2571463,309.8220874,-116320518,57663270.06,-69113215.77
2,143.2096101,310.8851846,-117805431.6,57663270.06,-66552203.31
3,144.1464625,312.0100066,-119229902.3,57662654.06,-63967425.4
4,145.0664241,313.2002932,-120597668.9,57662037.85,-61352193.03
5,145.9681027,314.4599376,-121908080.7,57661421.42,-58707749.95
6,146.8499842,315.7929594,-123160514.2,57660804.77,-56035353.83
7,147.7104253,317.2034674,-124354373.5,57660187.9,-53336275.63
8,148.5476457,318.6956073,-125489090.5,57659570.82,-50611799.02
9,149.3597219,320.2734941,-126564125.4,57658953.52,-47863219.73
10,150.1445829,321.9411238,-127578966.6,57658336.01,-45091844.98
11,150.9000081,323.7022639,-128533131.1,57657718.27,-42298992.84
12,151.6236291,325.560319,-129426164.9,57657100.32,-39485991.57
13,152.3129351,327.5181712,-130257643.1,57656482.16,-36654179.06
14,152.9652856,329.5779943,-131027169.8,57655863.77,-33804902.11
15,153.5779282,331.7410466,-131734379,57655245.17,-30939515.87
16,154.1480258,334.0074452,-132378934,57654626.36,-28059383.13
17,154.6726923,336.3759345,-132960527.9,57654007.32,-25165873.71
18,155.1490383,338.8436602,-133478883.9,57653388.07,-22260363.81
19,155.5742259,341.4059696,-133933755.3,57652768.6,-19344235.31
20,155.9455326,344.0562579,-134324925.4,57652148.92,-16418875.17
21,156.2604218,346.7858866,-134652208,57651529.02,-13485674.74
22,156.5166167,349.5841942,-134915447.1,57650908.9,-10546029.12
23,156.7121745,352.438618,-135114517.3,57650288.57,-7601336.445
24,156.8455543,355.3349356,-135249323.7,57649668.01,-4652997.291
25,156.9156752,358.2576212,-135319801.9,57649047.25,-1702413.955
26,156.9219589,1.190300284,-135325918.2,57648426.26,1249010.188
27,156.8643529,4.116270678,-135267669.4,57647805.06,4199871.359
28,156.743333,7.019050649,-135145083,57647183.64,7148766.04
29,156.5598835,9.882908694,-134958217,57646562.01,10094291.65
30,156.3154588,12.69333398,-134707160,57645940.15,13035047.18
31,156.0119275,15.43741412,-134392031.3,57645318.08,15969633.93
32,155.6515059,18.10409977,-134012980.5,57644695.8,18896656.08
33,155.2366853,20.68434972,-133570187.6,57644073.3,21814721.44
34,154.7701571,23.17116257,-133063863,57643450.58,24722442.06
35,154.2547416,25.55951127,-132494247.2,57642827.64,27618434.89
