(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,138.3124116,306.1158196,-109850585.9,57663270.06,-78988072.28
2,139.3165372,306.965812,-111553056.1,57663270.06,-76566224.18
3,140.3092018,307.864346,-113197384.8,57662654.06,-74115433.12
4,141.289498,308.8144394,-114787879.4,57662037.85,-71629361.39
5,142.256437,309.8192958,-116323783.4,57661421.42,-69109191.3
6,143.208941,310.8823041,-117804366,57660804.77,-66556121.39
7,144.1458359,312.0070339,-119228922.7,57660187.9,-63971365.86
8,145.0658424,313.1972252,-120596775.9,57659570.82,-61356153.97
9,145.9675683,314.4567714,-121907274.7,57658953.52,-58711729.46
10,146.8494998,315.7896925,-123159795.6,57658336.01,-56039350.01
11,147.7099937,317.2000977,-124353742.7,57657718.27,-53340286.56
12,148.5472697,318.6921333,-125488547.8,57657100.32,-50615822.77
13,149.3594047,320.269915,-126563670.9,57656482.16,-47867254.38
14,150.1443276,321.9374398,-127578600.6,57655863.77,-45095888.58
15,150.8998181,323.6984763,-128532853.8,57655245.17,-42303043.45
16,151.6235076,325.5564307,-129425976.4,57654626.36,-39490047.25
17,152.3128856,327.5141865,-130257543.5,57654007.32,-36658237.86
18,152.9653114,329.5739196,-131027159.2,57653388.07,-33808962.08
19,153.5780326,331.7368902,-131734457.3,57652768.6,-30943575.07
20,154.1482118,334.003218,-132379101.2,57652148.92,-28063439.6
21,154.672963,336.3716499,-132960783.9,57651529.02,-25169925.51
22,155.1493961,338.8393341,-133479228.7,57650908.9,-22264408.98
23,155.5746731,341.4016206,-133934188.6,57650288.57,-19348271.92
24,155.9460708,344.051907,-134325447,57649668.01,-16422901.29
25,156.2610519,346.7815569,-134652817.7,57649047.25,-13489688.43
26,156.5173392,349.5799104,-134916144.6,57648426.26,-10550028.45
27,156.712989,352.4344058,-135115302.3,57647805.06,-7605319.496
28,156.8464595,355.3308208,-135250195.8,57647183.64,-4656962.152
29,156.916669,358.253629,-135320760.6,57646562.01,-1706358.724
30,156.9230386,1.186454375,-135326963.1,57645940.15,1245087.406
31,156.8655149,4.112592429,-135268800,57645318.08,4195972.446
32,156.7445732,7.015558432,-135146298.7,57644695.8,7144892.868
33,156.5611973,9.879617381,-134959517.2,57644073.3,10090446.07
34,156.3168411,12.69025466,-134708544.2,57643450.58,13031231.06
35,156.0133729,15.434554,-134393498.8,57642827.64,15965849.08
36,155.6530091,18.10146234,-134014530.5,57642204.49,18892904.33
37,155.2382408,20.681935,-133571819.4,57641581.12,21811004.58
38,154.7717596,23.16896756,-133065575.8,57640957.53,24718761.87
39,154.2563858,25.5575304,-132496040.3,57640333.73,27614793.15
40,153.6950036,27.84442771,-131863483.5,57639709.71,30497720.93
41,153.0905038,30.0281047,-131168205.9,57639085.47,33366173.96
42,152.4457363,32.10842552,-130410538.2,57638461.02,36218787.86
43,151.7634728,34.0864411,-129590840.4,57637836.35,39054205.79
44,151.046378,35.96416182,-128709502.1,57637211.46,41871079.08
45,150.2969894,37.74434559,-127766942.3,57636586.36,44668067.87
46,149.5177045,39.43030779,-126763609.1,57635961.04,47443841.75
47,148.7107734,41.02575624,-125699979.5,57635335.5,50197080.4
48,147.8782968,42.53465196,-124576559.1,57634709.75,52926474.23
49,147.022227,43.96109457,-123393882,57634083.78,55630724.95
50,146.1443723,45.30923045,-122152510.6,57633457.59,58308546.26
51,145.2464027,46.5831808,-120853034.9,57632831.19,60958664.39
52,144.329857,47.78698695,-119496073,57632204.57,63579818.78
53,143.3961511,48.92456998,-118082269.9,57631577.73,66170762.62
54,142.446586,49.99970229,-116612298,57630950.68,68730263.46
55,141.4823563,51.01598856,-115086856.1,57630323.41,71257103.8
56,140.5045581,51.97685431,-113506669.6,57629695.92,73750081.69
57,139.5141975,52.88554032,-111872489.8,57629068.22,76208011.26
58,138.5121974,53.74510149,-110185093.9,57628440.29,78629723.32
59,137.499405,54.5584091,-108445284.1,57627812.16,81014065.89
60,136.4765983,55.32815535,-106653887.8,57627183.8,83359904.76
61,135.4444921,56.05685979,-104811756.9,57626555.23,85666124.04
62,134.4037437,56.7468767,-102919767.3,57625926.44,87931626.68
63,133.3549578,57.40040328,-100978818.7,57625297.44,90155334.97
64,132.2986916,58.01948814,-98989834.13,57624668.22,92336191.09
65,131.2354588,58.60603994,-96953759.37,57624038.78,94473157.61
66,130.1657335,59.16183591,-94871562.68,57623409.13,96565217.94
67,129.0899538,59.68853016,-92744234.23,57622779.26,98611376.89
68,128.0085251,60.18766178,-90572785.68,57622149.17,100610661
69,126.9218229,60.66066242,-88358249.67,57621518.87,102562119.3
70,125.8301955,61.10886362,-86101679.31,57620888.35,104464823.4
71,124.7339664,61.53350362,-83804147.75,57620257.61,106317868
72,123.6334366,61.9357338,-81466747.61,57619626.65,108120371.7
73,122.5288862,62.31662465,-79090590.46,57618995.48,109871476.9
74,121.4205767,62.67717138,-76676806.32,57618364.1,111570350.5
75,120.3087523,63.01829907,-74226543.13,57617732.49,113216184.4
76,119.1936414,63.34086751,-71740966.16,57617100.67,114808195.4
77,118.0754583,63.64567558,-69221257.48,57616468.63,116345626.3
78,116.9544038,63.93346541,-66668615.42,57615836.38,117827745.5
79,115.8306669,64.2049261,-64084253.95,57615203.91,119253847.8
80,114.7044256,64.46069724,-61469402.16,57614571.22,120623254.9
81,113.5758477,64.70137209,-58825303.63,57613938.32,121935315
82,112.4450921,64.92750049,-56153215.85,57613305.2,123189404
83,111.3123089,65.1395916,-53454409.66,57612671.86,124384925.2
84,110.1776407,65.33811633,-50730168.56,57612038.31,125521309.6
85,109.0412233,65.52350962,-47981788.2,57611404.54,126598016.6
86,107.9031857,65.69617247,-45210575.7,57610770.55,127614533.8
87,106.7636513,65.85647387,-42417849.04,57610136.35,128570377.6
88,105.6227382,66.00475248,-39604936.43,57609501.93,129465092.9
89,104.4805596,66.14131818,-36773175.7,57608867.29,130298254.2
90,103.3372243,66.26645351,-33923913.66,57608232.44,131069464.7
91,102.1928372,66.38041494,-31058505.43,57607597.37,131778357.6
92,101.0474999,66.48343397,-28178313.81,57606962.08,132424595.3
93,99.90131043,66.57571823,-25284708.66,57606326.58,133007870.3
94,98.75436428,66.65745234,-22379066.22,57605690.86,133527904.9
95,97.60675442,66.7287987,-19462768.43,57605054.92,133984451.5
96,96.45857164,66.78989827,-16537202.34,57604418.77,134377292.7
97,95.30990492,66.8408711,-13603759.41,57603782.4,134706241.5
98,94.16084171,66.88181689,-10663834.83,57603145.81,134971141.1
99,93.01146818,66.91281537,-7718826.887,57602509.01,135171865.2
100,91.86186952,66.93392671,-4770136.306,57601871.99,135308318.3
101,90.71213025,66.94519171,-1819165.552,57601234.76,135380435
102,89.56233442,66.94663198,1132681.812,57600597.3,135388180.9
103,88.41256592,66.93825007,4084001.803,57599959.64,135331552
104,87.26290874,66.92002945,7033390.684,57599321.75,135210575
105,86.11344723,66.89193443,9979445.629,57598683.65,135025307.3
106,84.96426636,66.85391004,12920765.39,57598045.33,134775836.6
107,83.81545198,66.80588178,15855950.98,57597406.79,134462281.4
108,82.66709116,66.74775527,18783606.3,57596768.04,134084790.5
109,81.51927238,66.67941592,21702338.85,57596129.08,133643543.4
110,80.3720859,66.60072836,24610760.35,57595489.89,133138749.5
111,79.22562404,66.51153592,27507487.44,57594850.49,132570648.7
112,78.07998146,66.41165991,30391142.29,57594210.87,131939511
113,76.93525555,66.30089884,33260353.3,57593571.04,131245636.4
114,75.79154678,66.17902757,36113755.74,57592930.99,130489354.6
115,74.648959,66.04579626,38949992.38,57592290.72,129671025.1
116,73.50759991,65.9009293,41767714.14,57591650.24,128791036.8
117,72.36758144,65.74412406,44565580.78,57591009.54,127849808.2
118,71.22902022,65.57504946,47342261.46,57590368.62,126847786.5
119,70.09203805,65.39334454,50096435.42,57589727.49,125785448.2
120,68.95676239,65.1986167,52826792.61,57589086.14,124663298.3
121,67.82332697,64.99043991,55532034.29,57588444.57,123481870.4
122,66.69187235,64.76835267,58210873.69,57587802.79,122241726
123,65.56254659,64.5318558,60862036.54,57587160.79,120943454.9
124,64.43550597,64.28041003,63484261.78,57586518.57,119587674.2
125,63.31091573,64.01343335,66076302.08,57585876.14,118175028.7
126,62.18895092,63.73029815,68636924.47,57585233.49,116706190
127,61.06979734,63.43032806,71164910.91,57584590.63,115181856.4
128,59.95365252,63.11279455,73659058.9,57583947.54,113602752.9
129,58.84072682,62.77691321,76118182.01,57583304.25,111969630.2
130,57.73124464,62.42183975,78541110.47,57582660.73,110283264.9
131,56.62544571,62.04666561,80926691.72,57582017,108544458.9
132,55.52358658,61.65041327,83273790.96,57581373.05,106754039
133,54.42594222,61.23203109,85581291.68,57580728.89,104912856.6
134,53.33280772,60.79038786,87848096.22,57580084.51,103021787.1
135,52.24450026,60.3242669,90073126.25,57579439.91,101081730
136,51.16136125,59.83235966,92255323.32,57578795.1,99093607.63
137,50.08375866,59.31325899,94393649.34,57578150.07,97058365.52
138,49.01208959,58.76545194,96487087.09,57577504.82,94976971.49
139,47.94678318,58.18731215,98534640.68,57576859.36,92850415.32
140,46.88830369,57.57709183,100535336.1,57576213.68,90679708.3
141,45.837154,56.93291347,102488221.5,57575567.79,88465882.71
142,44.79387945,56.25276127,104392367.8,57574921.67,86209991.34
143,43.75907197,55.53447244,106246869.3,57574275.34,83913106.99
144,42.73337473,54.77572858,108050843.6,57573628.8,81576321.98
145,41.71748717,53.97404729,109803432.6,57572982.04,79200747.58
146,40.71217048,53.12677441,111503802.4,57572335.06,76787513.55
147,39.71825362,52.23107725,113151144.2,57571687.87,74337767.54
148,38.73663976,51.28393931,114744674,57571040.46,71852674.58
149,37.76831323,50.28215728,116283633.9,57570392.83,69333416.51
150,36.81434702,49.22234104,117767291.7,57569744.99,66781191.45
