(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,66.45807722,295.3149539,58754096.25,57663270.06,-121863068.2
2,67.58868046,295.0890669,56073409.18,57663270.06,-123119121.5
3,68.72131021,294.8772118,53374315.11,57662654.06,-124312890.6
4,69.85582385,294.6789187,50649824.6,57662037.85,-125447517.1
5,70.99208577,294.4937536,47901233.4,57661421.42,-126522461.1
6,72.12996679,294.3213163,45129848.74,57660804.77,-127537211.3
7,73.26934351,294.1612385,42336988.67,57660187.9,-128491284.5
8,74.41009787,294.0131823,39523981.49,57659570.82,-129384227
9,75.55211659,293.8768385,36692165.06,57658953.52,-130215613.6
10,76.69529076,293.7519253,33842886.2,57658336.01,-130985048.8
11,77.8395154,293.6381867,30977500.06,57657718.27,-131692166.4
12,78.98468907,293.535392,28097369.42,57657100.32,-132336629.8
13,80.13071346,293.4433339,25203864.11,57656482.16,-132918132.2
14,81.27749307,293.3618285,22298360.32,57655863.77,-133436396.9
15,82.42493486,293.2907139,19382239.93,57655245.17,-133891177
16,83.57294794,293.2298497,16456889.9,57654626.36,-134282256.1
17,84.72144324,293.1791163,13523701.57,57654007.32,-134609447.9
18,85.87033322,293.1384146,10584070.03,57653388.07,-134872596.6
19,87.0195316,293.1076652,7639393.42,57652768.6,-135071576.6
20,88.16895307,293.0868087,4691072.3,57652148.92,-135206293.3
21,89.31851301,293.0758046,1740508.96,57651529.02,-135276682.1
22,90.46812723,293.0746319,-1210893.234,57650908.9,-135282709.5
23,91.61771171,293.0832886,-4161730.514,57650288.57,-135224372.3
24,92.76718233,293.1017916,-7110599.374,57649668.01,-135101698
25,93.91645459,293.1301772,-10056097.24,57649047.25,-134914744.7
26,95.06544338,293.1685009,-12996823.13,57648426.26,-134663601.1
27,96.21406265,293.2168378,-15931378.34,57647805.06,-134348386.5
28,97.36222519,293.2752829,-18858367.09,57647183.64,-133969250.4
29,98.50984233,293.3439512,-21776397.18,57646562.01,-133526373
30,99.65682361,293.4229787,-24684080.68,57645940.15,-133019964.7
31,100.8030765,293.5125229,-27580034.57,57645318.08,-132450266
32,101.9485062,293.6127629,-30462881.42,57644695.8,-131817547.9
33,103.093015,293.7239011,-33331250,57644073.3,-131122110.8
34,104.2365022,293.8461631,-36183775.98,57643450.58,-130364285.4
35,105.3788637,293.9797997,-39019102.55,57642827.64,-129544431.9
36,106.5199916,294.1250871,-41835881.1,57642204.49,-128662940
37,107.6597736,294.2823289,-44632771.8,57641581.12,-127720228.7
38,108.7980928,294.4518569,-47408444.3,57640957.53,-126716746.2
39,109.9348271,294.6340331,-50161578.33,57640333.73,-125652969.5
40,111.0698487,294.8292509,-52890864.34,57639709.71,-124529404.3
41,112.2030234,295.0379374,-55595004.09,57639085.47,-123346584.9
42,113.3342104,295.2605551,-58272711.34,57638461.02,-122105073.6
43,114.4632611,295.4976043,-60922712.38,57637836.35,-120805460.6
44,115.5900189,295.7496254,-63543746.7,57637211.46,-119448363.9
45,116.7143179,296.0172017,-66134567.54,57636586.36,-118034428.8
46,117.8359827,296.300962,-68693942.52,57635961.04,-116564327.5
47,118.954827,296.6015841,-71220654.2,57635335.5,-115038759
48,120.0706525,296.9197979,-73713500.69,57634709.75,-113458448.8
49,121.1832484,297.2563894,-76171296.18,57634083.78,-111824148.2
50,122.2923895,297.6122044,-78592871.55,57633457.59,-110136634.4
51,123.3978354,297.988153,-80977074.87,57632831.19,-108396709.8
52,124.4993289,298.3852148,-83322772.03,57632204.57,-106605201.9
53,125.596594,298.8044429,-85628847.17,57631577.73,-104762962.3
54,126.6893349,299.2469707,-87894203.33,57630950.68,-102870867.3
55,127.7772334,299.7140167,-90117762.87,57630323.41,-100929816.5
56,128.859947,300.2068916,-92298468.04,57629695.92,-98940733.03
57,129.9371068,300.7270046,-94435281.47,57629068.22,-96904562.7
58,131.0083143,301.275871,-96527186.67,57628440.29,-94822273.82
59,132.0731393,301.8551193,-98573188.5,57627812.16,-92694856.61
60,133.1311161,302.4664997,-100572313.6,57627183.8,-90523322.75
61,134.1817402,303.1118918,-102523611.1,57626555.23,-88308704.93
62,135.2244649,303.7933138,-104426152.5,57625926.44,-86052056.33
63,136.2586965,304.5129307,-106279032.8,57625297.44,-83754450.1
64,137.2837899,305.273063,-108081370.6,57624668.22,-81416978.89
65,138.2990439,306.0761949,-109832308.4,57624038.78,-79040754.34
66,139.303695,306.9249822,-111531013.3,57623409.13,-76626906.49
67,140.2969123,307.8222589,-113176676.9,57622779.26,-74176583.29
68,141.27779,308.7710423,-114768516.6,57622149.17,-71690950.06
69,142.2453415,309.7745358,-116305774.8,57621518.87,-69171188.89
70,143.1984911,310.8361287,-117787720.2,57620888.35,-66618498.12
71,144.1360667,311.959392,-119213647.8,57620257.61,-64034091.78
72,145.0567914,313.1480682,-120582879.1,57619626.65,-61419198.95
73,145.9592753,314.4060543,-121894762.7,57618995.48,-58775063.24
74,146.8420068,315.7373756,-123148674.4,57618364.1,-56102942.17
75,147.7033451,317.1461486,-124344017.5,57617732.49,-53404106.57
76,148.5415123,318.6365291,-125480223.3,57617100.67,-50679839.97
77,149.3545871,320.2126449,-126556751.2,57616468.63,-47931438.04
78,150.1405005,321.8785083,-127573088.9,57615836.38,-45160207.88
79,150.8970336,323.6379064,-128528752.7,57615203.91,-42367467.5
80,151.621819,325.4942679,-129423287.9,57614571.22,-39554545.13
81,152.3123465,327.4505027,-130256268.8,57613938.32,-36722778.59
82,152.9659752,329.5088173,-131027298.9,57613305.2,-33873514.68
83,153.5799512,331.6705062,-131736011.4,57612671.86,-31008108.54
84,154.151435,333.935727,-132382068.8,57612038.31,-28127922.96
85,154.6775364,336.303267,-132965163.6,57611404.54,-25234327.8
86,155.1553605,338.7703162,-133485018.4,57610770.55,-22328699.29
87,155.5820622,341.3322657,-133941385.5,57610136.35,-19412419.37
88,155.9549102,343.9825518,-134334047.6,57609501.93,-16486875.08
89,156.2713574,346.7125712,-134662817.8,57608867.29,-13553457.87
90,156.5291155,349.5116894,-134927539.4,57608232.44,-10613562.91
91,156.7262285,352.3673597,-135128086.3,57607597.37,-7668588.48
92,156.8611421,355.2653626,-135264362.8,57606962.08,-4719935.288
93,156.9327618,358.1901607,-135336303.9,57606326.58,-1769005.781
94,156.9404962,1.125353326,-135343875.1,57605690.86,1182796.499
95,156.8842806,4.054198534,-135287072.6,57605054.92,4134067.59
96,156.7645801,6.960163278,-135165923.1,57604418.77,7083403.779
97,156.5823705,9.827456316,-134980484,57603782.4,10029402.27
98,156.3390993,12.6415022,-134730843.3,57603145.81,12970661.83
99,156.0366311,15.38932272,-134417119.4,57602509.01,15905783.51
100,155.67718,18.05980493,-134039461.3,57601871.99,18833371.24
101,155.2632373,20.64384901,-133598048.4,57601234.76,21752032.55
102,154.7974961,23.13440205,-133093090.3,57600597.3,24660379.21
103,154.2827799,25.52639368,-132524827.1,57599959.64,27557027.87
104,153.7219768,27.81659561,-131893528.8,57599321.75,30440600.75
105,153.1179825,30.00342858,-131199495.3,57598683.65,33309726.3
106,152.4736524,32.08673975,-130443056.6,57598045.33,36163039.81
107,151.7917635,34.06756962,-129624572.1,57597406.79,38999184.11
