(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,53.10851448,299.3500455,88303460.25,57663270.06,-102502598.7
2,54.20002744,298.9021951,86039205.25,57663270.06,-104409665.2
3,55.29614001,298.4778848,83741050.13,57662654.06,-106261333.8
4,56.39655154,298.0759652,81403056.73,57662037.85,-108062448.1
5,57.50098196,297.695368,79026336.92,57661421.42,-109812151.3
6,58.60917001,297.3350995,76612020.98,57660804.77,-111509610.9
7,59.72087163,296.9942365,74161257.09,57660187.9,-113154019.5
8,60.83585846,296.6719206,71675210.77,57659570.82,-114744594.6
9,61.95391648,296.3673543,69155064.33,57658953.52,-116280579.6
10,63.07484479,296.0797968,66602016.29,57658336.01,-117761243.8
11,64.1984545,295.8085601,64017280.82,57657718.27,-119185882.5
12,65.32456771,295.5530056,61402087.2,57657100.32,-120553818.1
13,66.45301655,295.3125413,58757679.15,57656482.16,-121864399.7
14,67.58364233,295.086618,56085314.34,57655863.77,-123117003.8
15,68.71629476,294.8747275,53386263.7,57655245.17,-124311034.3
16,69.85083124,294.6763996,50661810.9,57654626.36,-125445923
17,70.98711618,294.4912003,47913251.64,57654007.32,-126521130.1
18,72.12502036,294.3187292,45141893.15,57653388.07,-127536143.9
19,73.26442041,294.1586178,42349053.48,57652768.6,-128490481.3
20,74.40519826,294.0105283,39536060.89,57652148.92,-129383688.3
21,75.54724065,293.8741513,36704253.26,57651529.02,-130215339.7
22,76.69043868,293.7492048,33854977.4,57650908.9,-130985039.9
23,77.83468737,293.6354328,30989588.44,57650288.57,-131692422.4
24,78.97988527,293.5326044,28109449.19,57649668.01,-132337150.6
25,80.12593411,293.4405125,25215929.46,57649047.25,-132918917.5
26,81.27273839,293.3589729,22310405.46,57648426.26,-133437446.4
27,82.42020509,293.2878236,19394259.08,57647805.06,-133892490.2
28,83.56824332,293.2269242,16468877.29,57647183.64,-134283832.3
29,84.71676402,293.1761549,13535651.45,57646562.01,-134611286.3
30,85.86567967,293.1354167,10595976.65,57645940.15,-134874696.3
31,87.01490402,293.1046301,7651251.074,57645318.08,-135073936.8
32,88.16435176,293.0837355,4702875.293,57644695.8,-135208912.6
33,89.31393828,293.0726925,1752251.627,57644073.3,-135279559.4
34,90.46357944,293.0714798,-1199216.531,57643450.58,-135285843.4
35,91.61319121,293.0800954,-4150125.38,57642827.64,-135227761.2
36,92.7626895,293.0985562,-7099071.379,57642204.49,-135105340.3
37,93.91198983,293.1268984,-10044651.92,57641581.12,-134918638.7
38,95.06100711,293.1651775,-12985465.98,57640957.53,-134667745
39,96.20965533,293.2134683,-15920114.81,57640333.73,-134352778.1
40,97.35784729,293.2718658,-18847202.58,57639709.71,-133973887.7
41,98.50549435,293.340485,-21765337.05,57639085.47,-133531253.8
42,99.65250609,293.4194618,-24673130.24,57638461.02,-133025086.6
43,100.79879,293.5089535,-27569199.08,57637836.35,-132455626.6
44,101.9442513,293.6091392,-30452166.07,57637211.46,-131823144.5
45,103.0887923,293.7202211,-33320659.94,57636586.36,-131127940.8
46,104.2323124,293.8424248,-36173316.3,57635961.04,-130370346
47,105.3747075,293.9760009,-39008778.27,57635335.5,-129550720.2
48,106.5158698,294.1212257,-41825697.16,57634709.75,-128669452.9
49,107.6556869,294.2784023,-44622733.1,57634083.78,-127726963.1
50,108.794042,294.4478628,-47398555.65,57633457.59,-126723698.9
51,109.9308132,294.6299687,-50151844.48,57632831.19,-125660137.1
52,111.0658725,294.8251134,-52881289.95,57632204.57,-124536783.5
53,112.1990859,295.0337239,-55585593.77,57631577.73,-123354172
54,113.3303126,295.2562625,-58263469.59,57630950.68,-122112864.9
55,114.4594042,295.4932294,-60913643.65,57630323.41,-120813452.5
56,115.586204,295.7451647,-63534855.32,57629695.92,-119456552.6
57,116.7105463,296.0126516,-66125857.79,57629068.22,-118042810.2
58,117.8322557,296.2963187,-68685418.58,57628440.29,-116572897.6
59,118.9511459,296.5968436,-71212320.16,57627812.16,-115047513.8
60,120.0670189,296.914956,-73705360.54,57627183.8,-113467384
61,121.1796638,297.2514416,-76163353.83,57626555.23,-111833259.5
62,122.2888556,297.607146,-78585130.8,57625926.44,-110145917.5
63,123.3943541,297.9829792,-80969539.45,57625297.44,-108406160.2
64,124.4959019,298.3799203,-83315445.54,57624668.22,-106614815
65,125.5932234,298.7990223,-85621733.14,57624038.78,-104772733.6
66,126.6860228,299.2414182,-87887305.16,57623409.13,-102880792
67,127.7739821,299.7083263,-90111083.87,57622779.26,-100939889.9
68,128.856759,300.2010569,-92292011.41,57622149.17,-98950950.23
69,129.9339846,300.721019,-94429050.32,57621518.87,-96914918.83
70,131.0052608,301.2697275,-96521183.98,57620888.35,-94832763.89
71,132.0701574,301.8488105,-98567417.13,57620257.61,-92705475.59
72,133.128209,302.4600179,-100566776.4,57619626.65,-90534065.55
73,134.1789113,303.105229,-102518310.5,57618995.48,-88319566.38
74,135.2217178,303.7864617,-104421091.3,57618364.1,-86063031.2
75,136.2560351,304.5058805,-106274213.4,57617732.49,-83765533.13
76,137.2812184,305.2658057,-108076795.2,57617100.67,-81428164.77
77,138.2965667,306.0687212,-109827979.2,57616468.63,-79052037.68
78,139.3013169,306.9172826,-111526932.3,57615836.38,-76638281.88
79,140.2946383,307.8143237,-113172846.3,57615203.91,-74188045.26
80,141.2756256,308.7628617,-114764938,57614571.22,-71702493.11
81,142.2432925,309.7660998,-116302450,57613938.32,-69182807.47
82,143.1965637,310.8274276,-117784650.8,57613305.2,-66630186.67
83,144.1342674,311.9504164,-119210835.3,57612671.86,-64045844.66
84,145.0551274,313.138809,-120580324.8,57612038.31,-61431010.53
85,145.9577539,314.3965031,-121892467.9,57611404.54,-58786927.85
86,146.840636,315.7275253,-123146640.1,57610770.55,-56114854.1
87,147.7021332,317.1359931,-124342244.7,57610136.35,-53416060.11
88,148.540468,318.6260643,-125478712.9,57609501.93,-50691829.38
89,149.3537195,320.201869,-126555503.8,57608867.29,-47943457.56
90,150.1398192,321.8674222,-127572105.1,57608232.44,-45172251.74
91,150.8965483,323.6265148,-128528033.1,57607597.37,-42379529.92
92,151.6215397,325.4825795,-129422832.7,57606962.08,-39566620.31
93,152.3122833,327.4385313,-130256078.3,57606326.58,-36734860.74
94,152.9661379,329.4965822,-131027373.2,57605690.86,-33885597.99
95,153.5803497,331.6580335,-131736350.4,57605054.92,-31020187.21
96,154.1520784,333.9230498,-132382672.4,57604418.77,-28139991.2
97,154.6784333,336.2904259,-132966031.5,57603782.4,-25246379.81
98,155.1565185,338.7573598,-133486150.1,57603145.81,-22340729.28
99,155.5834875,341.3192502,-133942780.5,57602509.01,-19424421.57
100,155.9566076,343.9695405,-134335705.2,57601871.99,-16498843.73
101,156.2733298,346.6996338,-134664737.2,57601234.76,-13565387.22
102,156.5313636,349.4989003,-134929719.8,57600597.3,-10625447.23
103,156.7287508,352.3547962,-135130526.5,57599959.64,-7680422.072
104,156.8639348,355.2531022,-135267061.7,57599321.75,-4731712.467
105,156.9358186,358.1782789,-135339260.2,57598683.65,-1780720.894
106,156.9438083,1.113920934,-135347087.4,57598045.33,1171149.076
107,156.8878374,4.043279239,-135290539.2,57597406.79,4122493.448
108,156.768369,6.949811632,-135169642.5,57596768.04,7071908.474
109,156.5863772,9.817716243,-134984454.3,57596129.08,10017991.32
110,156.3433087,12.63240614,-134735062.6,57595489.89,12959340.71
111,156.0410269,15.38089144,-134421585.7,57594850.49,15894557.66
112,155.6817459,18.05204792,-134044172.4,57594210.87,18822246.04
113,155.2679568,20.63676538,-133603002.1,57593571.04,21741013.35
114,154.8023532,23.1279818,-133098284.3,57592930.99,24649471.29
115,154.2877591,25.52061917,-132530258.8,57592290.72,27546236.46
116,153.7270634,27.81144309,-131899195.5,57591650.24,30429931.05
117,153.1231626,29.99886976,-131205394.4,57591009.54,33299183.41
118,152.4789132,32.08274317,-130449185.2,57590368.62,36152628.8
119,151.7970933,34.0641019,-129630927.3,57589727.49,38988909.97
120,151.0803742,35.9449506,-128751009.7,57589086.14,41806677.83
121,150.3313,37.72804685,-127809850.6,57588444.57,44604592.1
122,149.5522742,39.41670989,-126807897.5,57587802.79,47381321.92
123,148.7455529,41.01465455,-125745626.7,57587160.79,50135546.51
124,147.913242,42.52585108,-124623543.2,57586518.57,52865955.8
125,147.057299,43.95440983,-123442180.4,57585876.14,55571251.02
