(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,104.4446365,66.12137722,-36692906.97,57663270.06,130297912.9
2,103.3014781,66.24626827,-33834834.42,57663270.06,131069388.3
3,102.1572694,66.35998456,-30969450.03,57662654.06,131776329.5
4,101.0121119,66.46275695,-28089325.02,57662037.85,132420616.5
5,99.86610373,66.55479243,-25195829.2,57661421.42,133001942.8
6,98.71934051,66.636275,-22290338.74,57660804.77,133520031.5
7,97.57191525,66.70736648,-19374235.55,57660187.9,133974636.1
8,96.42391887,66.76820724,-16448906.55,57659570.82,134365540
9,95.27544045,66.81891676,-13515743.1,57658953.52,134692557.2
10,94.12656753,66.85959417,-10576140.25,57658336.01,134955531.7
11,92.97738639,66.89031866,-7631496.135,57657718.27,135154338.4
12,91.82798238,66.91114982,-4683211.303,57657100.32,135288882.4
13,90.67844011,66.9221279,-1732688.025,57656482.16,135359099.5
14,89.52884378,66.92327397,1218670.353,57655863.77,135364956
15,88.37927743,66.91459,4169460.083,57655245.17,135306448.9
16,87.22982519,66.89605888,7118277.683,57654626.36,135183605.8
17,86.08057158,66.86764435,10063720.6,57654007.32,134996484.9
18,84.93160173,66.82929085,13004387.89,57653388.07,134745174.9
19,83.7830017,66.78092325,15938880.87,57652768.6,134429795.2
20,82.6348587,66.72244658,18865803.77,57652148.92,134050495.4
21,81.48726145,66.65374557,21783764.46,57651529.02,133607455.8
22,80.34030041,66.57468421,24691375.01,57650908.9,133100886.9
23,79.1940681,66.48510513,27587252.46,57650288.57,132531029.3
24,78.04865944,66.38482891,30470019.4,57649668.01,131898153.9
25,76.90417208,66.27365333,33338304.65,57649047.25,131202561.4
26,75.76070672,66.15135246,36190743.91,57648426.26,130444582.4
27,74.61836751,66.01767566,39025980.42,57647805.06,129624577.2
28,73.47726245,65.87234646,41842665.6,57647183.64,128742935.6
29,72.33750378,65.71506133,44639459.69,57646562.01,127800076.8
30,71.19920846,65.54548828,47415032.36,57645940.15,126796448.8
31,70.06249863,65.36326534,50168063.4,57645318.08,125732528.9
32,68.92750216,65.16799889,52897243.3,57644695.8,124608822.8
33,67.79435317,64.95926181,55601273.89,57644073.3,123425864.9
34,66.66319264,64.73659145,58278868.97,57643450.58,122184217.4
35,65.5341691,64.49948743,60928754.89,57642827.64,120884470.8
36,64.4074393,64.24740921,63549671.18,57642204.49,119527243.1
37,63.28316901,63.97977343,66140371.15,57641581.12,118113179.5
38,62.16153384,63.69595107,68699622.47,57640957.53,116642952.4
39,61.04272018,63.39526428,71226207.78,57640333.73,115117260.9
40,59.9269262,63.07698294,73718925.23,57639709.71,113536830.4
41,58.81436294,62.74032102,76176589.07,57639085.47,111902412.5
42,57.70525553,62.38443246,78598030.26,57638461.02,110214784.3
43,56.59984448,62.0084069,80982096.93,57637836.35,108474748.2
44,55.49838721,61.61126487,83327655.01,57637211.46,106683131.7
45,54.40115956,61.19195275,85633588.75,57636586.36,104840786.8
46,53.3084576,60.74933722,87898801.22,57635961.04,102948589.5
47,52.22059957,60.2821994,90122214.87,57635335.5,101007439.6
48,51.137928,59.78922846,92302772.02,57634709.75,99018260.26
49,50.06081205,59.26901492,94439435.37,57634083.78,96981997.32
50,48.98965014,58.72004339,96531188.49,57633457.59,94899619.14
51,47.9248728,58.14068503,98577036.32,57632831.19,92772115.98
52,46.8669458,57.52918955,100576005.6,57632204.57,90600499.58
53,45.81637364,56.88367691,102527145.4,57631577.73,88385802.65
54,44.77370338,56.20212882,104429527.5,57630950.68,86129078.4
55,43.73952883,55.48238008,106282247,57630323.41,83831400.04
56,42.71449516,54.72210998,108084422.3,57629695.92,81493860.25
57,41.69930395,53.91883404,109835196.2,57629068.22,79117570.69
58,40.69471868,53.06989631,111533735.7,57628440.29,76703661.43
59,39.70157073,52.1724627,113179232.8,57627812.16,74253280.47
60,38.72076587,51.22351589,114770904.5,57627183.8,71767593.14
61,37.75329116,50.21985242,116307993.8,57626555.23,69247781.56
62,36.80022244,49.15808298,117789769.2,57625926.44,66695044.1
63,35.86273214,48.03463684,119215525.7,57625297.44,64110594.8
64,34.9420974,46.8457718,120584585.2,57624668.22,61495662.77
65,34.0397085,45.58759131,121896296,57624038.78,58851491.64
66,33.15707715,44.25607065,123150034.2,57623409.13,56179338.94
67,32.29584458,42.84709443,124345203.2,57622779.26,53480475.52
68,31.45778898,41.3565079,125481234.3,57622149.17,50756184.93
69,30.64483182,39.78018485,126557587,57621518.87,48007762.82
70,29.85904235,38.11411492,127573749.1,57620888.35,45236516.35
71,29.10263969,36.35451316,128529237,57620257.61,42443763.5
72,28.3779914,34.49795391,129423596.1,57619626.65,39630832.51
73,27.68760761,32.54153046,130256400.8,57618995.48,36799061.22
74,27.03412937,30.48304023,131027254.6,57618364.1,33949796.43
75,26.42031022,28.32119288,131735790.8,57617732.49,31084393.25
76,25.84898954,26.05583562,132381672,57617100.67,28204214.52
77,25.32305687,23.68818628,132964590.8,57616468.63,25310630.05
78,24.84540657,21.22105989,133484269.8,57615836.38,22405016.08
79,24.41888282,18.65907065,133940461.6,57615203.91,19488754.56
80,24.04621592,16.00878705,134332948.8,57614571.22,16563232.51
81,23.7299517,13.27881647,134661544.6,57613938.32,13629841.35
82,23.47237723,10.47979661,134926092.5,57613305.2,10689976.26
83,23.27544679,7.624275902,135126466.3,57612671.86,7745035.51
84,23.14071317,4.726474295,135262570.6,57612038.31,4796419.774
85,23.06926925,1.801927688,135334340.3,57611404.54,1845531.489
86,23.061705,358.8670337,135341741,57610770.55,-1106225.824
87,23.11808355,355.9385295,135284769,57610136.35,-4057448.224
88,23.23793857,353.0329421,135163451.2,57609501.93,-7006732.021
89,23.42029331,350.1660557,134977845,57608867.29,-9952674.44
90,23.66369938,347.352438,134728038.3,57608232.44,-12893874.29
91,23.96629191,344.6050596,134414149.9,57607597.37,-15828932.63
92,24.32585631,341.9350258,134036328.7,57606962.08,-18756453.44
93,24.73990146,339.3514296,133594754.2,57606326.58,-21675044.27
94,25.20573436,336.8613178,133089636.2,57605690.86,-24583316.92
95,25.72053194,334.4697557,132521214.6,57605054.92,-27479888.09
96,26.28140657,332.1799676,131889759.7,57604418.77,-30363380.03
97,26.88546326,329.9935296,131195571.4,57603782.4,-33232421.23
98,27.52984729,327.9105926,130438979.8,57603145.81,-36085647.02
99,28.21178221,325.9301146,129620344.3,57602509.01,-38921700.26
100,28.92859847,324.0500896,128740054.3,57601871.99,-41739231.98
101,29.67775374,322.2677601,127798528,57601234.76,-44536902
102,30.45684608,320.5798077,126796213.2,57600597.3,-47313379.6
103,31.26362102,318.9825196,125733586.3,57599959.64,-50067344.1
104,32.09597394,317.471928,124611152.4,57599321.75,-52797485.56
