(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,37.74285371,50.17791265,116320518,57663270.06,69197544.11
2,36.79038992,49.11481536,117805431.6,57663270.06,66636531.65
3,35.85353755,47.98999339,119229902.3,57662654.06,64051753.74
4,34.93357587,46.79970676,120597668.9,57662037.85,61436521.37
5,34.03189731,45.5400624,121908080.7,57661421.42,58792078.29
6,33.15001578,44.20704056,123160514.2,57660804.77,56119682.17
7,32.28957468,42.79653261,124354373.5,57660187.9,53420603.97
8,31.45235432,41.30439267,125489090.5,57659570.82,50696127.35
9,30.64027814,39.7265059,126564125.4,57658953.52,47947548.07
10,29.85541714,38.05887623,127578966.6,57658336.01,45176173.32
11,29.09999189,36.29773614,128533131.1,57657718.27,42383321.18
12,28.37637095,34.43968099,129426164.9,57657100.32,39570319.91
13,27.68706485,32.48182883,130257643.1,57656482.16,36738507.39
14,27.03471436,30.42200566,131027169.8,57655863.77,33889230.45
15,26.42207179,28.2589534,131734379,57655245.17,31023844.21
16,25.85197423,25.99255478,132378934,57654626.36,28143711.47
17,25.32730771,23.62406552,132960527.9,57654007.32,25250202.05
18,24.85096172,21.15633979,133478883.9,57653388.07,22344692.14
19,24.42577412,18.59403045,133933755.3,57652768.6,19428563.64
20,24.05446741,15.94374211,134324925.4,57652148.92,16503203.51
21,23.73957825,13.21411339,134652208,57651529.02,13570003.08
22,23.48338329,10.41580581,134915447.1,57650908.9,10630357.46
23,23.28782548,7.561381974,135114517.3,57650288.57,7685664.784
24,23.15444567,4.665064374,135249323.7,57649668.01,4737325.63
25,23.08432477,1.742378761,135319801.9,57649047.25,1786742.294
26,23.07804111,358.8096997,135325918.2,57648426.26,-1164681.849
27,23.13564711,355.8837293,135267669.4,57647805.06,-4115543.019
28,23.25666704,352.9809494,135145083,57647183.64,-7064437.701
29,23.44011646,350.1170913,134958217,57646562.01,-10009963.31
30,23.68454118,347.306666,134707160,57645940.15,-12950718.84
31,23.98807253,344.5625859,134392031.3,57645318.08,-15885305.59
32,24.34849408,341.8959002,134012980.5,57644695.8,-18812327.74
33,24.76331467,339.3156503,133570187.6,57644073.3,-21730393.1
34,25.22984286,336.8288374,133063863,57643450.58,-24638113.72
35,25.74525839,334.4404887,132494247.2,57642827.64,-27534106.55
36,26.30667745,332.1537979,131861611,57642204.49,-30416994.13
37,26.91120959,329.9703183,131166255.1,57641581.12,-33285405.24
38,27.55600507,327.8901846,130408509.8,57640957.53,-36137975.52
39,28.2382926,325.9123453,129588735.5,57640333.73,-38973348.13
40,28.95540785,324.0347896,128707321.7,57639709.71,-41790174.44
41,29.7048136,322.2547596,127764687.4,57639085.47,-44587114.6
42,30.48411277,320.5689401,126761280.8,57638461.02,-47362838.24
43,31.29105549,318.9736236,125697578.9,57637836.35,-50116025.06
44,32.12354143,317.4648496,124574087.4,57637211.46,-52845365.48
45,32.97961843,316.038519,123391340.4,57636586.36,-55549561.24
46,33.85747851,314.6904861,122149900.3,57635961.04,-58227326.08
47,34.75545193,313.4166302,120850357.2,57635335.5,-60877386.25
48,35.67199994,312.2129107,119493329.1,57634709.75,-63498481.21
49,36.60570689,311.075407,118079461.2,57634083.78,-66089364.19
50,37.55527194,310.0003475,116609425.8,57633457.59,-68648802.76
51,38.51950069,308.9841278,115083921.8,57632831.19,-71175579.46
52,39.49729699,308.0233232,113503674.5,57632204.57,-73668492.36
53,40.48765505,307.1146932,111869435.5,57631577.73,-76126355.63
54,41.48965193,306.2551834,110181981.8,57630950.68,-78548000.1
55,42.50244051,305.441923,108442115.7,57630323.41,-80932273.84
56,43.52524289,304.6722201,106650664.7,57629695.92,-83278042.66
57,44.55734432,303.9435556,104808480.5,57629068.22,-85584190.71
58,45.59808762,303.2535755,102916439.3,57628440.29,-87849620.96
59,46.64686801,302.6000829,100975440.6,57627812.16,-90073255.76
60,47.70312842,301.9810294,98986407.57,57627183.8,-92254037.31
61,48.76635522,301.3945067,96950286.02,57626555.23,-94390928.21
