(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index]
1,23.70641341,13.4171963,134682155.3,57525182.4,13764842.05
2,23.44589294,10.61626385,134950107,57525182.4,10815439.88
3,23.24603964,7.757993603,135153228.9,57524521.96,7869937.23
4,23.10843212,4.85660534,135292068.1,57523861.31,4920699.418
5,23.03418915,1.927662681,135366558.4,57523200.44,1969129.182
6,23.02392555,358.987619,135376664,57522539.36,-983369.623
7,23.07772716,356.0532929,135322379.9,57521878.07,-3935392.696
8,23.19514732,353.1413144,135203731.5,57521216.56,-6885535.956
9,23.37522517,350.2675858,135020775.2,57520554.84,-9832396.211
10,23.61652397,347.4468018,134773597.6,57519892.9,-12774571.82
11,23.91718611,344.6920605,134462316.1,57519230.74,-15710663.38
12,24.27499998,342.01459,134087078.4,57518568.37,-18639274.35
13,24.68747356,339.4235951,133648062.7,57517905.79,-21559011.76
14,25.15190959,336.9262202,133145477.7,57517242.99,-24468486.86
15,25.665478,334.5276117,132579562,57516579.98,-27366315.76
16,26.22528212,332.2310574,131950584.6,57515916.75,-30251120.1
17,26.82841646,330.0381808,131258844.4,57515253.31,-33121527.73
18,27.47201502,327.9491642,130504670.2,57514589.66,-35976173.32
19,28.15328965,325.9629842,129688420.3,57513925.79,-38813699.06
20,28.86955916,324.0776417,128810482.8,57513261.7,-41632755.24
21,29.61826992,322.290377,127871275.1,57512597.4,-44432000.96
22,30.39700923,320.5978629,126871243.5,57511932.88,-47210104.71
23,31.20351254,318.9963724,125810863.5,57511268.15,-49965745.06
24,32.03566597,317.4819198,124690639.1,57510603.21,-52697611.24
25,32.89150496,316.0503777,123511103,57509938.05,-55404403.78
26,33.76921028,314.6975699,122272815.8,57509272.68,-58084835.15
27,34.66710206,313.4193449,120976366.5,57508607.09,-60737630.32
28,35.58363251,312.2116309,119622371.2,57507941.28,-63361527.44
29,36.51737793,311.0704774,118211473.9,57507275.27,-65955278.36
30,37.46703036,309.9920837,116744345.3,57506609.03,-68517649.29
31,38.43138908,308.9728183,115221683,57505942.59,-71047421.35
32,39.40935242,308.0092307,113644211.1,57505275.92,-73543391.16
33,40.39990972,307.0980567,112012679.5,57504609.05,-76004371.43
34,41.40213379,306.2362197,110327864.1,57503941.96,-78429191.47
35,42.41517377,305.4208287,108590566,57503274.65,-80816697.81
36,43.43824852,304.6491731,106801611.4,57502607.13,-83165754.72
37,44.47064047,303.9187168,104961850.8,57501939.39,-85475244.76
38,45.51168996,303.2270902,103072159.1,57501271.44,-87744069.29
39,46.56079008,302.5720824,101133434.9,57500603.28,-89971149.01
40,47.61738189,301.9516321,99146600.19,57499934.9,-92155424.47
41,48.68095016,301.3638193,97112599.69,57499266.31,-94295856.59
42,49.7510194,300.8068563,95032400.67,57498597.5,-96391427.12
43,50.82715031,300.2790797,92906992.35,57497928.47,-98441139.15
44,51.90893651,299.7789417,90737385.45,57497259.24,-100444017.6
45,52.99600162,299.305003,88524611.73,57496589.78,-102399109.6
46,54.0879966,298.855925,86269723.47,57495920.12,-104305485
47,55.18459731,298.430463,83973793.01,57495250.24,-106162237
48,56.28550233,298.02746,81637912.19,57494580.14,-107968482.2
49,57.39043095,297.6458399,79263191.86,57493909.83,-109723361.2
50,58.4991214,297.284603,76850761.36,57493239.3,-111426039.3
51,59.61132915,296.9428195,74401767.97,57492568.56,-113075706.2
52,60.72682549,296.6196258,71917376.36,57491897.61,-114671577.1
53,61.8453961,296.3142193,69398768.04,57491226.44,-116212892.9
54,62.96683987,296.0258545,66847140.79,57490555.06,-117698920
55,64.09096774,295.7538391,64263708.13,57489883.46,-119128951.6
56,65.21760168,295.4975308,61649698.68,57489211.64,-120502307.2
57,66.34657375,295.2563336,59006355.63,57488539.62,-121818333.4
58,67.47772523,295.0296953,56334936.11,57487867.37,-123076403.9
59,68.61090585,294.8171044,53636710.63,57487194.92,-124275920.1
60,69.74597302,294.6180879,50912962.44,57486522.24,-125416311.4
61,70.88279122,294.432209,48164986.94,57485849.36,-126497034.9
62,72.02123134,294.2590648,45394091.06,57485176.26,-127517576.5
63,73.16117012,294.0982846,42601592.62,57484502.94,-128477450.5
64,74.30248965,293.9495282,39788819.76,57483829.41,-129376200
65,75.44507682,293.812484,36957110.22,57483155.67,-130213397.4
66,76.58882292,293.6868681,34107810.79,57482481.71,-130988644.2
67,77.73362319,293.5724227,31242276.61,57481807.53,-131701571.4
68,78.8793764,293.4689149,28361870.57,57481133.15,-132351839.6
69,80.02598453,293.3761357,25467962.62,57480458.54,-132939139.3
70,81.17335234,293.2938994,22561929.13,57479783.73,-133463190.9
71,82.32138709,293.2220423,19645152.27,57479108.69,-133923744.9
72,83.4699982,293.1604222,16719019.3,57478433.45,-134320581.9
73,84.61909692,293.108918,13784921.97,57477757.98,-134653512.9
74,85.76859609,293.0674287,10844255.78,57477082.31,-134922379.4
75,86.91840978,293.0358736,7898419.384,57476406.42,-135127053.1
76,88.06845308,293.0141913,4948813.909,57475730.31,-135267436.4
77,89.21864179,293.0023399,1996842.265,57475053.99,-135343462.4
78,90.36889214,293.0002966,-956091.4991,57474377.46,-135355094.4
79,91.51912059,293.0080577,-3908582.874,57473700.71,-135302326.9
80,92.66924348,293.0256386,-6859227.553,57473023.75,-135185184.5
81,93.81917684,293.0530738,-9806622.103,57472346.57,-135003722.8
82,94.96883606,293.0904169,-12749364.63,57471669.18,-134758027.7
83,96.11813569,293.1377413,-15686055.45,57470991.57,-134448215.9
84,97.26698909,293.1951401,-18615297.74,57470313.75,-134074434.5
85,98.41530821,293.2627264,-21535698.23,57469635.71,-133636860.9
86,99.56300326,293.3406344,-24445867.83,57468957.46,-133135703
87,100.7099824,293.4290192,-27344422.34,57468279,-132571198.9
88,101.8561515,293.528058,-30229983.05,57467600.32,-131943616.9
89,103.0014137,293.6379509,-33101177.44,57466921.42,-131253255.2
90,104.1456692,293.7589212,-35956639.8,57466242.32,-130500441.8
91,105.2888146,293.8912173,-38795011.93,57465562.99,-129685534.6
92,106.430743,294.0351129,-41614943.71,57464883.45,-128808920.9
93,107.571343,294.1909088,-44415093.82,57464203.7,-127871017.4
94,108.7104988,294.3589342,-47194130.32,57463523.74,-126872269.9
95,109.8480893,294.5395479,-49950731.33,57462843.55,-125813153.2
96,110.983988,294.7331405,-52683585.62,57462163.16,-124694170.8
